Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ buyer_np   (base table, 7 cols)",,,analytics_insight.buyer_np
buyer_np_name,Full display name of the Buyer Network Participant registered on the ONDC network.,"analytics_insight.buyer_np.""buyer_np_name""",analytics_insight.buyer_np
buyer_np,Unique identifier (subscriber ID) of the Buyer Network Participant on the ONDC network.,"analytics_insight.buyer_np.""buyer_np""",analytics_insight.buyer_np
updated_date,Date when this Buyer NP record was last updated in the data warehouse.,"analytics_insight.buyer_np.""updated_date""",analytics_insight.buyer_np
bnp_mask,Masked or anonymized alias of the Buyer NP used for reporting and privacy-safe analytics.,"analytics_insight.buyer_np.""bnp_mask""",analytics_insight.buyer_np
domain,"ONDC commerce domain in which the Buyer NP operates (e.g., retail, grocery, food and beverage, mobility).","analytics_insight.buyer_np.""domain""",analytics_insight.buyer_np
tsp_powered,Indicates whether the Buyer NP's platform is built on or powered by a third-party Technology Service Provider.,"analytics_insight.buyer_np.""tsp_powered""",analytics_insight.buyer_np
spoc_email,Email address of the Single Point of Contact responsible for this Buyer NP.,"analytics_insight.buyer_np.""spoc_email""",analytics_insight.buyer_np
"▼ cancellation_code   (base table, 7 cols)",,,analytics_insight.cancellation_code
code,"Unique ONDC-defined cancellation code that identifies a specific cancellation reason (e.g., 001, 002) as standardized across the network.","analytics_insight.cancellation_code.""code""",analytics_insight.cancellation_code
reason_for_cancellation,"Human-readable description of why an order or item was cancelled, corresponding to the cancellation code.","analytics_insight.cancellation_code.""reason_for_cancellation""",analytics_insight.cancellation_code
is_triggers_rto,"Indicates whether this cancellation reason triggers a Return To Origin shipment, meaning the logistics provider must return goods to the seller.","analytics_insight.cancellation_code.""is_triggers_rto""",analytics_insight.cancellation_code
by,"Identifies which party initiated the cancellation, such as buyer, seller NP, or logistics NP.","analytics_insight.cancellation_code.""by""",analytics_insight.cancellation_code
attributed_to,"Indicates which party bears responsibility or accountability for the cancellation, used for penalty and performance attribution across NPs.","analytics_insight.cancellation_code.""attributed_to""",analytics_insight.cancellation_code
whether_applicable_for_part_cancel,Indicates whether this cancellation code can be applied to a partial cancellation of an order rather than requiring full order cancellation.,"analytics_insight.cancellation_code.""whether_applicable_for_part_cancel""",analytics_insight.cancellation_code
sorting,Numeric or alphanumeric ordering value used to control display sequence of cancellation codes in reports or dropdowns.,"analytics_insight.cancellation_code.""sorting""",analytics_insight.cancellation_code
"▼ od_pincode   (base table, 4 cols)",,,analytics_insight.od_pincode
Pincode,6-digit Indian postal code uniquely identifying a delivery or pickup location within the ONDC logistics network.,"analytics_insight.od_pincode.""Pincode""",analytics_insight.od_pincode
Districtname,"Name of the district in which the pincode falls, used for regional logistics aggregation and serviceability mapping.","analytics_insight.od_pincode.""Districtname""",analytics_insight.od_pincode
Statename,"Full name of the Indian state to which the pincode belongs, used for state-level reporting and compliance segmentation.","analytics_insight.od_pincode.""Statename""",analytics_insight.od_pincode
Statecode,"Standardised numeric or alpha code representing the state, used for joining with government reference data and filtering in analytics queries.","analytics_insight.od_pincode.""Statecode""",analytics_insight.od_pincode
"▼ order_level   (base table, 33 cols)",,,analytics_insight.order_level
Buyer NP,Network Participant (platform/app) through which the buyer placed the order.,"analytics_insight.order_level.""Buyer NP""",analytics_insight.order_level
Seller NP,Network Participant (platform/app) on which the seller is registered and fulfills orders.,"analytics_insight.order_level.""Seller NP""",analytics_insight.order_level
Network order id,Unique order identifier assigned across the ONDC network.,"analytics_insight.order_level.""Network order id""",analytics_insight.order_level
Provider Id,Unique identifier for the seller's store or outlet on the network.,"analytics_insight.order_level.""Provider Id""",analytics_insight.order_level
Seller Name,Trading name of the seller or store fulfilling the order.,"analytics_insight.order_level.""Seller Name""",analytics_insight.order_level
Seller Pincode,Indian postal code of the seller's warehouse or pickup location.,"analytics_insight.order_level.""Seller Pincode""",analytics_insight.order_level
Delivery Pincode,Indian postal code of the buyer's delivery address.,"analytics_insight.order_level.""Delivery Pincode""",analytics_insight.order_level
cancellation_code,Standardized ONDC reason code explaining why the order was cancelled.,"analytics_insight.order_level.""cancellation_code""",analytics_insight.order_level
Created at,Timestamp when the order was first created on the ONDC network.,"analytics_insight.order_level.""Created at""",analytics_insight.order_level
Date,Calendar date on which the order was created.,"analytics_insight.order_level.""Date""",analytics_insight.order_level
domain,"ONDC commerce vertical the order belongs to (e.g., retail, food, mobility).","analytics_insight.order_level.""domain""",analytics_insight.order_level
on-time-del,Binary flag or score indicating whether the order was delivered within the promised time.,"analytics_insight.order_level.""on-time-del""",analytics_insight.order_level
Shipped at,Timestamp when the LSP marked the order as dispatched or picked up from the seller.,"analytics_insight.order_level.""Shipped at""",analytics_insight.order_level
Ready to Ship,Timestamp when the seller marked the order as packed and ready for LSP pickup.,"analytics_insight.order_level.""Ready to Ship""",analytics_insight.order_level
Promised time,Timestamp by which delivery was contractually promised to the buyer.,"analytics_insight.order_level.""Promised time""",analytics_insight.order_level
tat_dif,"Difference between actual delivery time and promised TAT, expressed in hours or fractional days.","analytics_insight.order_level.""tat_dif""",analytics_insight.order_level
tat_diff_days,TAT deviation (actual minus promised delivery time) expressed in whole or fractional days.,"analytics_insight.order_level.""tat_diff_days""",analytics_insight.order_level
day_diff,Day-level difference between two key order lifecycle timestamps used for SLA tracking.,"analytics_insight.order_level.""day_diff""",analytics_insight.order_level
min_diff,Minute-level difference between two key order lifecycle timestamps for fine-grained latency analysis.,"analytics_insight.order_level.""min_diff""",analytics_insight.order_level
tat_time,Actual end-to-end turn-around-time for the order from creation to delivery.,"analytics_insight.order_level.""tat_time""",analytics_insight.order_level
no_key,Surrogate integer key or row sequence number uniquely identifying each record.,"analytics_insight.order_level.""no_key""",analytics_insight.order_level
ONDC order_status,"Final or current status of the order as per ONDC protocol state machine (e.g., Created, Completed, Cancelled).","analytics_insight.order_level.""ONDC order_status""",analytics_insight.order_level
Updated at,Timestamp of the most recent status update received for the order.,"analytics_insight.order_level.""Updated at""",analytics_insight.order_level
Category,Specific product or service category of the ordered item.,"analytics_insight.order_level.""Category""",analytics_insight.order_level
Consolidated_category,Broader grouped category used for aggregated reporting and cross-domain analysis.,"analytics_insight.order_level.""Consolidated_category""",analytics_insight.order_level
network_transaction_id,ONDC network-level transaction identifier linking all protocol messages belonging to one order flow.,"analytics_insight.order_level.""network_transaction_id""",analytics_insight.order_level
modified_date,Date when the order record was last modified or refreshed in the data warehouse.,"analytics_insight.order_level.""modified_date""",analytics_insight.order_level
is_force_cancelled,Flag indicating whether the order was forcibly cancelled by the network or admin rather than by buyer or seller.,"analytics_insight.order_level.""is_force_cancelled""",analytics_insight.order_level
c_context_timestamp,Canonical event timestamp from the ONDC protocol message context object representing the official event time.,"analytics_insight.order_level.""c_context_timestamp""",analytics_insight.order_level
f_agent_assigned_at,Timestamp when a delivery agent was assigned to the shipment by the LSP.,"analytics_insight.order_level.""f_agent_assigned_at""",analytics_insight.order_level
f_rto_initiated_at,Timestamp when the Return To Origin process was formally initiated after a failed delivery.,"analytics_insight.order_level.""f_rto_initiated_at""",analytics_insight.order_level
f_rto_delivered_at,Timestamp when the undelivered shipment was successfully returned and delivered back to the seller.,"analytics_insight.order_level.""f_rto_delivered_at""",analytics_insight.order_level
f_rto_requested_at,"Timestamp when the Return To Origin was first requested, before formal initiation.","analytics_insight.order_level.""f_rto_requested_at""",analytics_insight.order_level
"▼ ordernhm   (view, 94 cols)",,,analytics_insight.ordernhm
Date,"Calendar date of the order, used as the primary time dimension for reporting.","analytics_insight.ordernhm.""Date""",analytics_insight.ordernhm
Seller NP,Display name of the Seller Network Participant (the platform/app through which the seller lists products on ONDC).,"analytics_insight.ordernhm.""Seller NP""",analytics_insight.ordernhm
Buyer NP,Display name of the Buyer Network Participant (the platform/app through which the buyer placed the order on ONDC).,"analytics_insight.ordernhm.""Buyer NP""",analytics_insight.ordernhm
Network order id,Unique identifier assigned to the order across the ONDC network.,"analytics_insight.ordernhm.""Network order id""",analytics_insight.ordernhm
provider key,"Surrogate lookup key formed by lowercasing the concatenation of Seller NP code and Provider Id, uniquely identifying a seller storefront.","analytics_insight.ordernhm.""provider key""",analytics_insight.ordernhm
Provider Id,ONDC-assigned unique identifier for the seller/provider entity.,"analytics_insight.ordernhm.""Provider Id""",analytics_insight.ordernhm
Seller Name,Registered name of the seller or store fulfilling the order.,"analytics_insight.ordernhm.""Seller Name""",analytics_insight.ordernhm
Seller Pincode,Indian postal code (pincode) of the seller's dispatch location.,"analytics_insight.ordernhm.""Seller Pincode""",analytics_insight.ordernhm
Delivery Pincode,Indian postal code (pincode) of the buyer's delivery destination.,"analytics_insight.ordernhm.""Delivery Pincode""",analytics_insight.ordernhm
cancellation_code,ONDC-standardised code identifying the specific reason an order was cancelled.,"analytics_insight.ordernhm.""cancellation_code""",analytics_insight.ordernhm
Created at,Timestamp when the order was originally placed on the network.,"analytics_insight.ordernhm.""Created at""",analytics_insight.ordernhm
Updated at,"Timestamp of the most recent status update on the order (e.g., delivered or cancelled).","analytics_insight.ordernhm.""Updated at""",analytics_insight.ordernhm
Shipped at,Timestamp when the order was physically dispatched or handed to the logistics provider.,"analytics_insight.ordernhm.""Shipped at""",analytics_insight.ordernhm
Ready to Ship,Timestamp when the seller marked the order as packed and ready for pickup.,"analytics_insight.ordernhm.""Ready to Ship""",analytics_insight.ordernhm
Promised time,Committed delivery deadline (end of contracted TAT window) communicated to the buyer.,"analytics_insight.ordernhm.""Promised time""",analytics_insight.ordernhm
domain,"ONDC business domain of the order (e.g., retail, F&B, grocery, fashion).","analytics_insight.ordernhm.""domain""",analytics_insight.ordernhm
on-time-del,"Binary flag (1 = on time, 0 = late) indicating whether the order was delivered within the promised TAT.","analytics_insight.ordernhm.""on-time-del""",analytics_insight.ordernhm
tat_dif,"Numeric indicator of TAT compliance; 0 means delivered within TAT, positive value indicates a breach.","analytics_insight.ordernhm.""tat_dif""",analytics_insight.ordernhm
tat_diff_days,TAT breach or surplus expressed in fractional days.,"analytics_insight.ordernhm.""tat_diff_days""",analytics_insight.ordernhm
day_diff,Number of calendar days elapsed between order creation and delivery.,"analytics_insight.ordernhm.""day_diff""",analytics_insight.ordernhm
min_diff,Number of minutes elapsed between order creation (or ready-to-ship) and delivery.,"analytics_insight.ordernhm.""min_diff""",analytics_insight.ordernhm
tat_time,Total turn-around time in minutes from order creation to delivery.,"analytics_insight.ordernhm.""tat_time""",analytics_insight.ordernhm
Category,"ONDC product category of the order (e.g., F&B, Grocery, Electronics).","analytics_insight.ordernhm.""Category""",analytics_insight.ordernhm
Consolidated_category,Rolled-up higher-level grouping of product categories for summary reporting.,"analytics_insight.ordernhm.""Consolidated_category""",analytics_insight.ordernhm
ONDC order_status,"Current lifecycle status of the order on the ONDC network (Delivered, Cancelled, In Process, Part Delivered).","analytics_insight.ordernhm.""ONDC order_status""",analytics_insight.ordernhm
no_key,Row-level counting unit (always 1 per order row) used as the base metric for aggregations.,"analytics_insight.ordernhm.""no_key""",analytics_insight.ordernhm
Confirmed,"Count of confirmed orders (equals no_key for every row, i.e., 1 per order).","analytics_insight.ordernhm.""Confirmed""",analytics_insight.ordernhm
Delivered,"Count flag that equals no_key (1) when the order status is Delivered, else 0.","analytics_insight.ordernhm.""Delivered""",analytics_insight.ordernhm
Cancelled,"Count flag that equals no_key (1) when the order status is Cancelled, else 0.","analytics_insight.ordernhm.""Cancelled""",analytics_insight.ordernhm
In Process,"Count flag that equals no_key (1) when the order status is In Process, else 0.","analytics_insight.ordernhm.""In Process""",analytics_insight.ordernhm
Part Delivered,"Count flag that equals no_key (1) when the order status is Part Delivered, else 0.","analytics_insight.ordernhm.""Part Delivered""",analytics_insight.ordernhm
SNP,Normalised Seller Network Participant code from the reference table; defaults to 'Others' if unmapped.,"analytics_insight.ordernhm.""SNP""",analytics_insight.ordernhm
BNP,Normalised Buyer Network Participant code from the reference table; defaults to 'Others' if unmapped.,"analytics_insight.ordernhm.""BNP""",analytics_insight.ordernhm
Cancellation code cal,Binary flag (1/0) indicating whether a cancellation code is recorded for the order.,"analytics_insight.ordernhm.""Cancellation code cal""",analytics_insight.ordernhm
Tat breach,TAT breach value coalesced to 0 for null; used as a safe numeric measure of TAT overrun.,"analytics_insight.ordernhm.""Tat breach""",analytics_insight.ordernhm
Delivered with TAT,Count flag (no_key) for orders that were delivered on or within the promised TAT (tat_dif = 0).,"analytics_insight.ordernhm.""Delivered with TAT""",analytics_insight.ordernhm
Delivered beyond TAT,Count flag (no_key) for orders that were delivered after the promised TAT (tat_dif > 0).,"analytics_insight.ordernhm.""Delivered beyond TAT""",analytics_insight.ordernhm
DBO,Count flag (no_key) for orders delivered on or before the promised time (Updated at <= Promised time).,"analytics_insight.ordernhm.""DBO""",analytics_insight.ordernhm
Breach (mins),"Signed minutes between the actual closure time (or current time for in-process) and the promised delivery time; positive = late, negative = early.","analytics_insight.ordernhm.""Breach (mins)""",analytics_insight.ordernhm
Breach (hrs),Same TAT breach duration expressed in hours.,"analytics_insight.ordernhm.""Breach (hrs)""",analytics_insight.ordernhm
Breach (days),Same TAT breach duration expressed in fractional days.,"analytics_insight.ordernhm.""Breach (days)""",analytics_insight.ordernhm
Same Day,Count flag for delivered orders where creation and delivery occurred on the same calendar day (day_diff = 0).,"analytics_insight.ordernhm.""Same Day""",analytics_insight.ordernhm
Next Day,Count flag for delivered orders where delivery occurred one calendar day after order creation (day_diff = 1).,"analytics_insight.ordernhm.""Next Day""",analytics_insight.ordernhm
