Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ logistics_stock_bv   (view, 87 cols)",,,analytics_insight_preprod.logistics_stock_bv
bap_id,,"analytics_insight_preprod.logistics_stock_bv.""bap_id""",analytics_insight_preprod.logistics_stock_bv
bpp_id,,"analytics_insight_preprod.logistics_stock_bv.""bpp_id""",analytics_insight_preprod.logistics_stock_bv
order_id,,"analytics_insight_preprod.logistics_stock_bv.""order_id""",analytics_insight_preprod.logistics_stock_bv
retail_order_id,,"analytics_insight_preprod.logistics_stock_bv.""retail_order_id""",analytics_insight_preprod.logistics_stock_bv
transaction_id,,"analytics_insight_preprod.logistics_stock_bv.""transaction_id""",analytics_insight_preprod.logistics_stock_bv
date,,"analytics_insight_preprod.logistics_stock_bv.""date""",analytics_insight_preprod.logistics_stock_bv
order_created_at,,"analytics_insight_preprod.logistics_stock_bv.""order_created_at""",analytics_insight_preprod.logistics_stock_bv
cancellation_code,,"analytics_insight_preprod.logistics_stock_bv.""cancellation_code""",analytics_insight_preprod.logistics_stock_bv
latest_order_status,,"analytics_insight_preprod.logistics_stock_bv.""latest_order_status""",analytics_insight_preprod.logistics_stock_bv
Linked,,"analytics_insight_preprod.logistics_stock_bv.""Linked""",analytics_insight_preprod.logistics_stock_bv
shipment_type,,"analytics_insight_preprod.logistics_stock_bv.""shipment_type""",analytics_insight_preprod.logistics_stock_bv
provider_name,,"analytics_insight_preprod.logistics_stock_bv.""provider_name""",analytics_insight_preprod.logistics_stock_bv
pick_up_pincode,,"analytics_insight_preprod.logistics_stock_bv.""pick_up_pincode""",analytics_insight_preprod.logistics_stock_bv
delivery_pincode,,"analytics_insight_preprod.logistics_stock_bv.""delivery_pincode""",analytics_insight_preprod.logistics_stock_bv
retail_category,,"analytics_insight_preprod.logistics_stock_bv.""retail_category""",analytics_insight_preprod.logistics_stock_bv
assigned,,"analytics_insight_preprod.logistics_stock_bv.""assigned""",analytics_insight_preprod.logistics_stock_bv
cancelled_date,,"analytics_insight_preprod.logistics_stock_bv.""cancelled_date""",analytics_insight_preprod.logistics_stock_bv
picked_date,,"analytics_insight_preprod.logistics_stock_bv.""picked_date""",analytics_insight_preprod.logistics_stock_bv
