Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ dim_categories   (base table, 2 cols)",,,external.dim_categories
category,,"external.dim_categories.""category""",external.dim_categories
sub_category,,"external.dim_categories.""sub_category""",external.dim_categories
"▼ dim_dates   (base table, 1 cols)",,,external.dim_dates
order_date,,"external.dim_dates.""order_date""",external.dim_dates
"▼ dim_districts   (base table, 2 cols)",,,external.dim_districts
delivery_state,,"external.dim_districts.""delivery_state""",external.dim_districts
delivery_district,,"external.dim_districts.""delivery_district""",external.dim_districts
"▼ dim_pincode   (base table, 4 cols)",,,external.dim_pincode
pincode,,"external.dim_pincode.""pincode""",external.dim_pincode
district_name,,"external.dim_pincode.""district_name""",external.dim_pincode
state_name,,"external.dim_pincode.""state_name""",external.dim_pincode
state_code,,"external.dim_pincode.""state_code""",external.dim_pincode
"▼ dim_providers   (base table, 7 cols)",,,external.dim_providers
provider_key,,"external.dim_providers.""provider_key""",external.dim_providers
order_date,,"external.dim_providers.""order_date""",external.dim_providers
category,,"external.dim_providers.""category""",external.dim_providers
sub_category,,"external.dim_providers.""sub_category""",external.dim_providers
seller_district,,"external.dim_providers.""seller_district""",external.dim_providers
seller_state,,"external.dim_providers.""seller_state""",external.dim_providers
seller_state_code,,"external.dim_providers.""seller_state_code""",external.dim_providers
"▼ district_wise_agg   (base table, 18 cols)",,,external.district_wise_agg
domain,,"external.district_wise_agg.""domain""",external.district_wise_agg
sub_domain,,"external.district_wise_agg.""sub_domain""",external.district_wise_agg
order_month,,"external.district_wise_agg.""order_month""",external.district_wise_agg
order_year,,"external.district_wise_agg.""order_year""",external.district_wise_agg
order_week,,"external.district_wise_agg.""order_week""",external.district_wise_agg
delivery_district,,"external.district_wise_agg.""delivery_district""",external.district_wise_agg
delivery_state,,"external.district_wise_agg.""delivery_state""",external.district_wise_agg
delivery_state_code,,"external.district_wise_agg.""delivery_state_code""",external.district_wise_agg
seller_district,,"external.district_wise_agg.""seller_district""",external.district_wise_agg
