Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ dummy_data   (base table, 19 cols)",,,logistics.dummy_data
delivery_partner,,"logistics.dummy_data.""delivery_partner""",logistics.dummy_data
delivery_id,,"logistics.dummy_data.""delivery_id""",logistics.dummy_data
transaction_id,,"logistics.dummy_data.""transaction_id""",logistics.dummy_data
date,,"logistics.dummy_data.""date""",logistics.dummy_data
order_created_as_on,,"logistics.dummy_data.""order_created_as_on""",logistics.dummy_data
cancel_reason,,"logistics.dummy_data.""cancel_reason""",logistics.dummy_data
status,,"logistics.dummy_data.""status""",logistics.dummy_data
starting_pincode,,"logistics.dummy_data.""starting_pincode""",logistics.dummy_data
drop_pincode,,"logistics.dummy_data.""drop_pincode""",logistics.dummy_data
package_type,,"logistics.dummy_data.""package_type""",logistics.dummy_data
delivery_mode,,"logistics.dummy_data.""delivery_mode""",logistics.dummy_data
distance_kms,,"logistics.dummy_data.""distance_kms""",logistics.dummy_data
order_marked_ready,,"logistics.dummy_data.""order_marked_ready""",logistics.dummy_data
rider_assigned,,"logistics.dummy_data.""rider_assigned""",logistics.dummy_data
rider_at_location,,"logistics.dummy_data.""rider_at_location""",logistics.dummy_data
order_picked,,"logistics.dummy_data.""order_picked""",logistics.dummy_data
order_delivered_timestamp,,"logistics.dummy_data.""order_delivered_timestamp""",logistics.dummy_data
order_cancelled_timestamp,,"logistics.dummy_data.""order_cancelled_timestamp""",logistics.dummy_data
tat_order,,"logistics.dummy_data.""tat_order""",logistics.dummy_data
"▼ funnel_rca_data   (view, 25 cols)",,,logistics.funnel_rca_data
bap_id,,"logistics.funnel_rca_data.""bap_id""",logistics.funnel_rca_data
bpp_id,,"logistics.funnel_rca_data.""bpp_id""",logistics.funnel_rca_data
date,,"logistics.funnel_rca_data.""date""",logistics.funnel_rca_data
transaction_id,,"logistics.funnel_rca_data.""transaction_id""",logistics.funnel_rca_data
order_id,,"logistics.funnel_rca_data.""order_id""",logistics.funnel_rca_data
retail_order_id,,"logistics.funnel_rca_data.""retail_order_id""",logistics.funnel_rca_data
linked,,"logistics.funnel_rca_data.""linked""",logistics.funnel_rca_data
pick_up_pincode,,"logistics.funnel_rca_data.""pick_up_pincode""",logistics.funnel_rca_data
delivery_pincode,,"logistics.funnel_rca_data.""delivery_pincode""",logistics.funnel_rca_data
retail_category,,"logistics.funnel_rca_data.""retail_category""",logistics.funnel_rca_data
shipment_type,,"logistics.funnel_rca_data.""shipment_type""",logistics.funnel_rca_data
fulfillment_type,,"logistics.funnel_rca_data.""fulfillment_type""",logistics.funnel_rca_data
cancellation_code,,"logistics.funnel_rca_data.""cancellation_code""",logistics.funnel_rca_data
provider_name,,"logistics.funnel_rca_data.""provider_name""",logistics.funnel_rca_data
order_created_at,,"logistics.funnel_rca_data.""order_created_at""",logistics.funnel_rca_data
delivered_date,,"logistics.funnel_rca_data.""delivered_date""",logistics.funnel_rca_data
cancelled_date,,"logistics.funnel_rca_data.""cancelled_date""",logistics.funnel_rca_data
agent_assigned_at,,"logistics.funnel_rca_data.""agent_assigned_at""",logistics.funnel_rca_data
transaction_status,,"logistics.funnel_rca_data.""transaction_status""",logistics.funnel_rca_data
cancel_attribution,,"logistics.funnel_rca_data.""cancel_attribution""",logistics.funnel_rca_data
is_assigned,,"logistics.funnel_rca_data.""is_assigned""",logistics.funnel_rca_data
pickup_status,,"logistics.funnel_rca_data.""pickup_status""",logistics.funnel_rca_data
deliver_time_mins,,"logistics.funnel_rca_data.""deliver_time_mins""",logistics.funnel_rca_data
cancel_time_mins,,"logistics.funnel_rca_data.""cancel_time_mins""",logistics.funnel_rca_data
time_to_assign_mins,,"logistics.funnel_rca_data.""time_to_assign_mins""",logistics.funnel_rca_data
"▼ inc_log   (base table, 32 cols)",,,logistics.inc_log
bap_id,,"logistics.inc_log.""bap_id""",logistics.inc_log
bpp_id,,"logistics.inc_log.""bpp_id""",logistics.inc_log
order_id,,"logistics.inc_log.""order_id""",logistics.inc_log
transaction_id,,"logistics.inc_log.""transaction_id""",logistics.inc_log
fulfillment_status,,"logistics.inc_log.""fulfillment_status""",logistics.inc_log
cod_order,,"logistics.inc_log.""cod_order""",logistics.inc_log
date,,"logistics.inc_log.""date""",logistics.inc_log
order_created_at,,"logistics.inc_log.""order_created_at""",logistics.inc_log
cancellation_code,,"logistics.inc_log.""cancellation_code""",logistics.inc_log
latest_order_status,,"logistics.inc_log.""latest_order_status""",logistics.inc_log
retail_order_id,,"logistics.inc_log.""retail_order_id""",logistics.inc_log
pick_up_pincode,,"logistics.inc_log.""pick_up_pincode""",logistics.inc_log
delivery_pincode,,"logistics.inc_log.""delivery_pincode""",logistics.inc_log
retail_category,,"logistics.inc_log.""retail_category""",logistics.inc_log
shipment_type,,"logistics.inc_log.""shipment_type""",logistics.inc_log
motorable_distance,,"logistics.inc_log.""motorable_distance""",logistics.inc_log
provider_name,,"logistics.inc_log.""provider_name""",logistics.inc_log
pickup_tat,,"logistics.inc_log.""pickup_tat""",logistics.inc_log
rts_tat,,"logistics.inc_log.""rts_tat""",logistics.inc_log
f_ready_to_ship_at_date,,"logistics.inc_log.""f_ready_to_ship_at_date""",logistics.inc_log
f_at_pickup_from_date,,"logistics.inc_log.""f_at_pickup_from_date""",logistics.inc_log
f_agent_assigned_at_date,,"logistics.inc_log.""f_agent_assigned_at_date""",logistics.inc_log
delivered_date,,"logistics.inc_log.""delivered_date""",logistics.inc_log
cancelled_date,,"logistics.inc_log.""cancelled_date""",logistics.inc_log
picked_date,,"logistics.inc_log.""picked_date""",logistics.inc_log
drop_row,,"logistics.inc_log.""drop_row""",logistics.inc_log
row_updated,,"logistics.inc_log.""row_updated""",logistics.inc_log
promised_time_to_deliver,,"logistics.inc_log.""promised_time_to_deliver""",logistics.inc_log
fulfillment_type,,"logistics.inc_log.""fulfillment_type""",logistics.inc_log
awb_number,,"logistics.inc_log.""awb_number""",logistics.inc_log
pick_up_lat,,"logistics.inc_log.""pick_up_lat""",logistics.inc_log
pick_up_long,,"logistics.inc_log.""pick_up_long""",logistics.inc_log
"▼ lbnp_funnel_view   (view, 66 cols)",,,logistics.lbnp_funnel_view
bap_id,,"logistics.lbnp_funnel_view.""bap_id""",logistics.lbnp_funnel_view
date,,"logistics.lbnp_funnel_view.""date""",logistics.lbnp_funnel_view
linked,,"logistics.lbnp_funnel_view.""linked""",logistics.lbnp_funnel_view
pick_up_pincode,,"logistics.lbnp_funnel_view.""pick_up_pincode""",logistics.lbnp_funnel_view
delivery_pincode,,"logistics.lbnp_funnel_view.""delivery_pincode""",logistics.lbnp_funnel_view
retail_category,,"logistics.lbnp_funnel_view.""retail_category""",logistics.lbnp_funnel_view
shipment_type,,"logistics.lbnp_funnel_view.""shipment_type""",logistics.lbnp_funnel_view
fulfillment_type,,"logistics.lbnp_funnel_view.""fulfillment_type""",logistics.lbnp_funnel_view
request,,"logistics.lbnp_funnel_view.""request""",logistics.lbnp_funnel_view
unique_retail_order,,"logistics.lbnp_funnel_view.""unique_retail_order""",logistics.lbnp_funnel_view
on_confirms,,"logistics.lbnp_funnel_view.""on_confirms""",logistics.lbnp_funnel_view
confirmed_orders,,"logistics.lbnp_funnel_view.""confirmed_orders""",logistics.lbnp_funnel_view
assigned,,"logistics.lbnp_funnel_view.""assigned""",logistics.lbnp_funnel_view
delivered,,"logistics.lbnp_funnel_view.""delivered""",logistics.lbnp_funnel_view
preassigned_cancel,,"logistics.lbnp_funnel_view.""preassigned_cancel""",logistics.lbnp_funnel_view
precancel_buyer,,"logistics.lbnp_funnel_view.""precancel_buyer""",logistics.lbnp_funnel_view
precancel_buyer_0_2,,"logistics.lbnp_funnel_view.""precancel_buyer_0_2""",logistics.lbnp_funnel_view
precancel_buyer_3_5,,"logistics.lbnp_funnel_view.""precancel_buyer_3_5""",logistics.lbnp_funnel_view
precancel_buyer_5_10,,"logistics.lbnp_funnel_view.""precancel_buyer_5_10""",logistics.lbnp_funnel_view
precancel_buyer_10_15,,"logistics.lbnp_funnel_view.""precancel_buyer_10_15""",logistics.lbnp_funnel_view
precancel_buyer_15_20,,"logistics.lbnp_funnel_view.""precancel_buyer_15_20""",logistics.lbnp_funnel_view
precancel_buyer_gt_20,,"logistics.lbnp_funnel_view.""precancel_buyer_gt_20""",logistics.lbnp_funnel_view
precancel_seller,,"logistics.lbnp_funnel_view.""precancel_seller""",logistics.lbnp_funnel_view
precancel_seller_0_2,,"logistics.lbnp_funnel_view.""precancel_seller_0_2""",logistics.lbnp_funnel_view
precancel_seller_3_5,,"logistics.lbnp_funnel_view.""precancel_seller_3_5""",logistics.lbnp_funnel_view
precancel_seller_5_10,,"logistics.lbnp_funnel_view.""precancel_seller_5_10""",logistics.lbnp_funnel_view
precancel_seller_10_15,,"logistics.lbnp_funnel_view.""precancel_seller_10_15""",logistics.lbnp_funnel_view
precancel_seller_15_20,,"logistics.lbnp_funnel_view.""precancel_seller_15_20""",logistics.lbnp_funnel_view
precancel_seller_gt_20,,"logistics.lbnp_funnel_view.""precancel_seller_gt_20""",logistics.lbnp_funnel_view
precancel_logistics,,"logistics.lbnp_funnel_view.""precancel_logistics""",logistics.lbnp_funnel_view
precancel_logistics_0_2,,"logistics.lbnp_funnel_view.""precancel_logistics_0_2""",logistics.lbnp_funnel_view
precancel_logistics_3_5,,"logistics.lbnp_funnel_view.""precancel_logistics_3_5""",logistics.lbnp_funnel_view
precancel_logistics_5_10,,"logistics.lbnp_funnel_view.""precancel_logistics_5_10""",logistics.lbnp_funnel_view
precancel_logistics_10_15,,"logistics.lbnp_funnel_view.""precancel_logistics_10_15""",logistics.lbnp_funnel_view
precancel_logistics_15_20,,"logistics.lbnp_funnel_view.""precancel_logistics_15_20""",logistics.lbnp_funnel_view
precancel_logistics_gt_20,,"logistics.lbnp_funnel_view.""precancel_logistics_gt_20""",logistics.lbnp_funnel_view
postassigned_cancel,,"logistics.lbnp_funnel_view.""postassigned_cancel""",logistics.lbnp_funnel_view
postcancel_buyer,,"logistics.lbnp_funnel_view.""postcancel_buyer""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_0_2,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_0_2""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_3_5,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_3_5""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_5_10,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_5_10""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_10_15,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_10_15""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_15_20,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_15_20""",logistics.lbnp_funnel_view
postcancel_buyer_prepickup_gt_20,,"logistics.lbnp_funnel_view.""postcancel_buyer_prepickup_gt_20""",logistics.lbnp_funnel_view
postcancel_buyer_postpickup,,"logistics.lbnp_funnel_view.""postcancel_buyer_postpickup""",logistics.lbnp_funnel_view
postcancel_seller,,"logistics.lbnp_funnel_view.""postcancel_seller""",logistics.lbnp_funnel_view
postcancel_seller_prepickup,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_0_2,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_0_2""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_3_5,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_3_5""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_5_10,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_5_10""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_10_15,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_10_15""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_15_20,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_15_20""",logistics.lbnp_funnel_view
postcancel_seller_prepickup_gt_20,,"logistics.lbnp_funnel_view.""postcancel_seller_prepickup_gt_20""",logistics.lbnp_funnel_view
postcancel_seller_postpickup,,"logistics.lbnp_funnel_view.""postcancel_seller_postpickup""",logistics.lbnp_funnel_view
postcancel_logistics,,"logistics.lbnp_funnel_view.""postcancel_logistics""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_0_2,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_0_2""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_3_5,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_3_5""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_5_10,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_5_10""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_10_15,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_10_15""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_15_20,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_15_20""",logistics.lbnp_funnel_view
postcancel_logistics_prepickup_gt_20,,"logistics.lbnp_funnel_view.""postcancel_logistics_prepickup_gt_20""",logistics.lbnp_funnel_view
postcancel_logistics_postpickup,,"logistics.lbnp_funnel_view.""postcancel_logistics_postpickup""",logistics.lbnp_funnel_view
preassigned_open,,"logistics.lbnp_funnel_view.""preassigned_open""",logistics.lbnp_funnel_view
postassigned_open,,"logistics.lbnp_funnel_view.""postassigned_open""",logistics.lbnp_funnel_view
"▼ log_dummy_data   (view, 48 cols)",,,logistics.log_dummy_data
bap_id,,"logistics.log_dummy_data.""bap_id""",logistics.log_dummy_data
bpp_id,,"logistics.log_dummy_data.""bpp_id""",logistics.log_dummy_data
order_id,,"logistics.log_dummy_data.""order_id""",logistics.log_dummy_data
transaction_id,,"logistics.log_dummy_data.""transaction_id""",logistics.log_dummy_data
fulfillment_status,,"logistics.log_dummy_data.""fulfillment_status""",logistics.log_dummy_data
fulfillment_type,,"logistics.log_dummy_data.""fulfillment_type""",logistics.log_dummy_data
cod_order,,"logistics.log_dummy_data.""cod_order""",logistics.log_dummy_data
date,,"logistics.log_dummy_data.""date""",logistics.log_dummy_data
order_created_at,,"logistics.log_dummy_data.""order_created_at""",logistics.log_dummy_data
cancellation_code,,"logistics.log_dummy_data.""cancellation_code""",logistics.log_dummy_data
latest_order_status,,"logistics.log_dummy_data.""latest_order_status""",logistics.log_dummy_data
retail_order_id,,"logistics.log_dummy_data.""retail_order_id""",logistics.log_dummy_data
pick_up_pincode,,"logistics.log_dummy_data.""pick_up_pincode""",logistics.log_dummy_data
delivery_pincode,,"logistics.log_dummy_data.""delivery_pincode""",logistics.log_dummy_data
retail_category,,"logistics.log_dummy_data.""retail_category""",logistics.log_dummy_data
shipment_type,,"logistics.log_dummy_data.""shipment_type""",logistics.log_dummy_data
motorable_distance,,"logistics.log_dummy_data.""motorable_distance""",logistics.log_dummy_data
provider_name,,"logistics.log_dummy_data.""provider_name""",logistics.log_dummy_data
pickup_tat,,"logistics.log_dummy_data.""pickup_tat""",logistics.log_dummy_data
rts_tat,,"logistics.log_dummy_data.""rts_tat""",logistics.log_dummy_data
f_ready_to_ship_at_date,,"logistics.log_dummy_data.""f_ready_to_ship_at_date""",logistics.log_dummy_data
f_at_pickup_from_date,,"logistics.log_dummy_data.""f_at_pickup_from_date""",logistics.log_dummy_data
f_agent_assigned_at_date,,"logistics.log_dummy_data.""f_agent_assigned_at_date""",logistics.log_dummy_data
delivered_date,,"logistics.log_dummy_data.""delivered_date""",logistics.log_dummy_data
cancelled_date,,"logistics.log_dummy_data.""cancelled_date""",logistics.log_dummy_data
picked_date,,"logistics.log_dummy_data.""picked_date""",logistics.log_dummy_data
promised_time_to_deliver,,"logistics.log_dummy_data.""promised_time_to_deliver""",logistics.log_dummy_data
awbnumber,,"logistics.log_dummy_data.""awbnumber""",logistics.log_dummy_data
buyer_np,,"logistics.log_dummy_data.""buyer_np""",logistics.log_dummy_data
retail_snp,,"logistics.log_dummy_data.""retail_snp""",logistics.log_dummy_data
Linked Orders,,"logistics.log_dummy_data.""Linked Orders""",logistics.log_dummy_data
dedup,,"logistics.log_dummy_data.""dedup""",logistics.log_dummy_data
order_count,,"logistics.log_dummy_data.""order_count""",logistics.log_dummy_data
avg_del,,"logistics.log_dummy_data.""avg_del""",logistics.log_dummy_data
del_tat_duration,,"logistics.log_dummy_data.""del_tat_duration""",logistics.log_dummy_data
del_adherence,,"logistics.log_dummy_data.""del_adherence""",logistics.log_dummy_data
del_breach_diff,,"logistics.log_dummy_data.""del_breach_diff""",logistics.log_dummy_data
rtsvscrt,,"logistics.log_dummy_data.""rtsvscrt""",logistics.log_dummy_data
rtsvspck,,"logistics.log_dummy_data.""rtsvspck""",logistics.log_dummy_data
delage,,"logistics.log_dummy_data.""delage""",logistics.log_dummy_data
