Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ bnp_view_potential_order   (base table, 9 cols)",,,no_recommendation.bnp_view_potential_order
date,,"no_recommendation.bnp_view_potential_order.""date""",no_recommendation.bnp_view_potential_order
time_frame,,"no_recommendation.bnp_view_potential_order.""time_frame""",no_recommendation.bnp_view_potential_order
pincode,,"no_recommendation.bnp_view_potential_order.""pincode""",no_recommendation.bnp_view_potential_order
seller_count,,"no_recommendation.bnp_view_potential_order.""seller_count""",no_recommendation.bnp_view_potential_order
qsr_seller,,"no_recommendation.bnp_view_potential_order.""qsr_seller""",no_recommendation.bnp_view_potential_order
potential_orders,,"no_recommendation.bnp_view_potential_order.""potential_orders""",no_recommendation.bnp_view_potential_order
select_calls,,"no_recommendation.bnp_view_potential_order.""select_calls""",no_recommendation.bnp_view_potential_order
error,,"no_recommendation.bnp_view_potential_order.""error""",no_recommendation.bnp_view_potential_order
logistics_cancel,,"no_recommendation.bnp_view_potential_order.""logistics_cancel""",no_recommendation.bnp_view_potential_order
"▼ bnp_view_potential_order_old   (base table, 9 cols)",,,no_recommendation.bnp_view_potential_order_old
date,,"no_recommendation.bnp_view_potential_order_old.""date""",no_recommendation.bnp_view_potential_order_old
time_frame,,"no_recommendation.bnp_view_potential_order_old.""time_frame""",no_recommendation.bnp_view_potential_order_old
pincode,,"no_recommendation.bnp_view_potential_order_old.""pincode""",no_recommendation.bnp_view_potential_order_old
seller_count,,"no_recommendation.bnp_view_potential_order_old.""seller_count""",no_recommendation.bnp_view_potential_order_old
qsr_seller,,"no_recommendation.bnp_view_potential_order_old.""qsr_seller""",no_recommendation.bnp_view_potential_order_old
potential_orders,,"no_recommendation.bnp_view_potential_order_old.""potential_orders""",no_recommendation.bnp_view_potential_order_old
select_calls,,"no_recommendation.bnp_view_potential_order_old.""select_calls""",no_recommendation.bnp_view_potential_order_old
error,,"no_recommendation.bnp_view_potential_order_old.""error""",no_recommendation.bnp_view_potential_order_old
logistics_cancel,,"no_recommendation.bnp_view_potential_order_old.""logistics_cancel""",no_recommendation.bnp_view_potential_order_old
"▼ dim_pincode   (base table, 4 cols)",,,no_recommendation.dim_pincode
pincode,,"no_recommendation.dim_pincode.""pincode""",no_recommendation.dim_pincode
state_name,,"no_recommendation.dim_pincode.""state_name""",no_recommendation.dim_pincode
district_name,,"no_recommendation.dim_pincode.""district_name""",no_recommendation.dim_pincode
state_code,,"no_recommendation.dim_pincode.""state_code""",no_recommendation.dim_pincode
"▼ dim_pincode_new   (base table, 3 cols)",,,no_recommendation.dim_pincode_new
pincode,,"no_recommendation.dim_pincode_new.""pincode""",no_recommendation.dim_pincode_new
state_name,,"no_recommendation.dim_pincode_new.""state_name""",no_recommendation.dim_pincode_new
district_name,,"no_recommendation.dim_pincode_new.""district_name""",no_recommendation.dim_pincode_new
"▼ dim_seller_np   (base table, 2 cols)",,,no_recommendation.dim_seller_np
name,,"no_recommendation.dim_seller_np.""name""",no_recommendation.dim_seller_np
seller_np,,"no_recommendation.dim_seller_np.""seller_np""",no_recommendation.dim_seller_np
"▼ logistics_gold_test   (view, 48 cols)",,,no_recommendation.logistics_gold_test
bap_id,,"no_recommendation.logistics_gold_test.""bap_id""",no_recommendation.logistics_gold_test
bpp_id,,"no_recommendation.logistics_gold_test.""bpp_id""",no_recommendation.logistics_gold_test
order_id,,"no_recommendation.logistics_gold_test.""order_id""",no_recommendation.logistics_gold_test
transaction_id,,"no_recommendation.logistics_gold_test.""transaction_id""",no_recommendation.logistics_gold_test
retail_order_id,,"no_recommendation.logistics_gold_test.""retail_order_id""",no_recommendation.logistics_gold_test
f_ready_to_ship_at_date,,"no_recommendation.logistics_gold_test.""f_ready_to_ship_at_date""",no_recommendation.logistics_gold_test
fulfillment_status,,"no_recommendation.logistics_gold_test.""fulfillment_status""",no_recommendation.logistics_gold_test
fulfillment_type,,"no_recommendation.logistics_gold_test.""fulfillment_type""",no_recommendation.logistics_gold_test
cod_order,,"no_recommendation.logistics_gold_test.""cod_order""",no_recommendation.logistics_gold_test
date,,"no_recommendation.logistics_gold_test.""date""",no_recommendation.logistics_gold_test
order_created_at,,"no_recommendation.logistics_gold_test.""order_created_at""",no_recommendation.logistics_gold_test
cancellation_code,,"no_recommendation.logistics_gold_test.""cancellation_code""",no_recommendation.logistics_gold_test
latest_order_status,,"no_recommendation.logistics_gold_test.""latest_order_status""",no_recommendation.logistics_gold_test
pick_up_pincode,,"no_recommendation.logistics_gold_test.""pick_up_pincode""",no_recommendation.logistics_gold_test
delivery_pincode,,"no_recommendation.logistics_gold_test.""delivery_pincode""",no_recommendation.logistics_gold_test
retail_category,,"no_recommendation.logistics_gold_test.""retail_category""",no_recommendation.logistics_gold_test
shipment_type,,"no_recommendation.logistics_gold_test.""shipment_type""",no_recommendation.logistics_gold_test
motorable_distance,,"no_recommendation.logistics_gold_test.""motorable_distance""",no_recommendation.logistics_gold_test
provider_name,,"no_recommendation.logistics_gold_test.""provider_name""",no_recommendation.logistics_gold_test
pickup_tat,,"no_recommendation.logistics_gold_test.""pickup_tat""",no_recommendation.logistics_gold_test
rts_tat,,"no_recommendation.logistics_gold_test.""rts_tat""",no_recommendation.logistics_gold_test
f_at_pickup_from_date,,"no_recommendation.logistics_gold_test.""f_at_pickup_from_date""",no_recommendation.logistics_gold_test
f_agent_assigned_at_date,,"no_recommendation.logistics_gold_test.""f_agent_assigned_at_date""",no_recommendation.logistics_gold_test
delivered_date,,"no_recommendation.logistics_gold_test.""delivered_date""",no_recommendation.logistics_gold_test
cancelled_date,,"no_recommendation.logistics_gold_test.""cancelled_date""",no_recommendation.logistics_gold_test
picked_date,,"no_recommendation.logistics_gold_test.""picked_date""",no_recommendation.logistics_gold_test
promised_time_to_deliver,,"no_recommendation.logistics_gold_test.""promised_time_to_deliver""",no_recommendation.logistics_gold_test
awbnumber,,"no_recommendation.logistics_gold_test.""awbnumber""",no_recommendation.logistics_gold_test
buyer_np,,"no_recommendation.logistics_gold_test.""buyer_np""",no_recommendation.logistics_gold_test
retail_snp,,"no_recommendation.logistics_gold_test.""retail_snp""",no_recommendation.logistics_gold_test
Linked Orders,,"no_recommendation.logistics_gold_test.""Linked Orders""",no_recommendation.logistics_gold_test
dedup,,"no_recommendation.logistics_gold_test.""dedup""",no_recommendation.logistics_gold_test
order_count,,"no_recommendation.logistics_gold_test.""order_count""",no_recommendation.logistics_gold_test
avg_del,,"no_recommendation.logistics_gold_test.""avg_del""",no_recommendation.logistics_gold_test
del_tat_duration,,"no_recommendation.logistics_gold_test.""del_tat_duration""",no_recommendation.logistics_gold_test
del_adherence,,"no_recommendation.logistics_gold_test.""del_adherence""",no_recommendation.logistics_gold_test
del_breach_diff,,"no_recommendation.logistics_gold_test.""del_breach_diff""",no_recommendation.logistics_gold_test
rtsvscrt,,"no_recommendation.logistics_gold_test.""rtsvscrt""",no_recommendation.logistics_gold_test
rtsvspck,,"no_recommendation.logistics_gold_test.""rtsvspck""",no_recommendation.logistics_gold_test
delage,,"no_recommendation.logistics_gold_test.""delage""",no_recommendation.logistics_gold_test
cancel_secs,,"no_recommendation.logistics_gold_test.""cancel_secs""",no_recommendation.logistics_gold_test
in_process_ageing,,"no_recommendation.logistics_gold_test.""in_process_ageing""",no_recommendation.logistics_gold_test
rider_waiting,,"no_recommendation.logistics_gold_test.""rider_waiting""",no_recommendation.logistics_gold_test
rider_assigning,,"no_recommendation.logistics_gold_test.""rider_assigning""",no_recommendation.logistics_gold_test
pick_up_breached,,"no_recommendation.logistics_gold_test.""pick_up_breached""",no_recommendation.logistics_gold_test
pick_up_tat_diff,,"no_recommendation.logistics_gold_test.""pick_up_tat_diff""",no_recommendation.logistics_gold_test
rts_breached,,"no_recommendation.logistics_gold_test.""rts_breached""",no_recommendation.logistics_gold_test
rts_tat_diff,,"no_recommendation.logistics_gold_test.""rts_tat_diff""",no_recommendation.logistics_gold_test
"▼ logistics_order_bv   (base table, 206 cols)",,,no_recommendation.logistics_order_bv
bap_id,,"no_recommendation.logistics_order_bv.""bap_id""",no_recommendation.logistics_order_bv
bpp_id,,"no_recommendation.logistics_order_bv.""bpp_id""",no_recommendation.logistics_order_bv
order_id,,"no_recommendation.logistics_order_bv.""order_id""",no_recommendation.logistics_order_bv
transaction_id,,"no_recommendation.logistics_order_bv.""transaction_id""",no_recommendation.logistics_order_bv
fulfillment_status,,"no_recommendation.logistics_order_bv.""fulfillment_status""",no_recommendation.logistics_order_bv
fulfillment_type,,"no_recommendation.logistics_order_bv.""fulfillment_type""",no_recommendation.logistics_order_bv
cod_order,,"no_recommendation.logistics_order_bv.""cod_order""",no_recommendation.logistics_order_bv
date,,"no_recommendation.logistics_order_bv.""date""",no_recommendation.logistics_order_bv
order_created_at,,"no_recommendation.logistics_order_bv.""order_created_at""",no_recommendation.logistics_order_bv
cancellation_code,,"no_recommendation.logistics_order_bv.""cancellation_code""",no_recommendation.logistics_order_bv
latest_order_status,,"no_recommendation.logistics_order_bv.""latest_order_status""",no_recommendation.logistics_order_bv
retail_order_id,,"no_recommendation.logistics_order_bv.""retail_order_id""",no_recommendation.logistics_order_bv
pick_up_pincode,,"no_recommendation.logistics_order_bv.""pick_up_pincode""",no_recommendation.logistics_order_bv
delivery_pincode,,"no_recommendation.logistics_order_bv.""delivery_pincode""",no_recommendation.logistics_order_bv
retail_category,,"no_recommendation.logistics_order_bv.""retail_category""",no_recommendation.logistics_order_bv
shipment_type,,"no_recommendation.logistics_order_bv.""shipment_type""",no_recommendation.logistics_order_bv
motorable_distance,,"no_recommendation.logistics_order_bv.""motorable_distance""",no_recommendation.logistics_order_bv
provider_name,,"no_recommendation.logistics_order_bv.""provider_name""",no_recommendation.logistics_order_bv
pickup_tat,,"no_recommendation.logistics_order_bv.""pickup_tat""",no_recommendation.logistics_order_bv
rts_tat,,"no_recommendation.logistics_order_bv.""rts_tat""",no_recommendation.logistics_order_bv
f_ready_to_ship_at_date,,"no_recommendation.logistics_order_bv.""f_ready_to_ship_at_date""",no_recommendation.logistics_order_bv
f_at_pickup_from_date,,"no_recommendation.logistics_order_bv.""f_at_pickup_from_date""",no_recommendation.logistics_order_bv
f_agent_assigned_at_date,,"no_recommendation.logistics_order_bv.""f_agent_assigned_at_date""",no_recommendation.logistics_order_bv
delivered_date,,"no_recommendation.logistics_order_bv.""delivered_date""",no_recommendation.logistics_order_bv
cancelled_date,,"no_recommendation.logistics_order_bv.""cancelled_date""",no_recommendation.logistics_order_bv
picked_date,,"no_recommendation.logistics_order_bv.""picked_date""",no_recommendation.logistics_order_bv
promised_time_to_deliver,,"no_recommendation.logistics_order_bv.""promised_time_to_deliver""",no_recommendation.logistics_order_bv
buyer_np,,"no_recommendation.logistics_order_bv.""buyer_np""",no_recommendation.logistics_order_bv
retail_snp,,"no_recommendation.logistics_order_bv.""retail_snp""",no_recommendation.logistics_order_bv
Linked Orders,,"no_recommendation.logistics_order_bv.""Linked Orders""",no_recommendation.logistics_order_bv
dedup,,"no_recommendation.logistics_order_bv.""dedup""",no_recommendation.logistics_order_bv
