Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ dim_pincode   (base table, 4 cols)",,,opendata_nodata.dim_pincode
pincode,,"opendata_nodata.dim_pincode.""pincode""",opendata_nodata.dim_pincode
district_name,,"opendata_nodata.dim_pincode.""district_name""",opendata_nodata.dim_pincode
state_name,,"opendata_nodata.dim_pincode.""state_name""",opendata_nodata.dim_pincode
state_code,,"opendata_nodata.dim_pincode.""state_code""",opendata_nodata.dim_pincode
"▼ insurance   (base table, 7 cols)",,,opendata_nodata.insurance
date,,"opendata_nodata.insurance.""date""",opendata_nodata.insurance
bap_id,,"opendata_nodata.insurance.""bap_id""",opendata_nodata.insurance
bpp_id,,"opendata_nodata.insurance.""bpp_id""",opendata_nodata.insurance
category_code,,"opendata_nodata.insurance.""category_code""",opendata_nodata.insurance
domain,,"opendata_nodata.insurance.""domain""",opendata_nodata.insurance
order_count,,"opendata_nodata.insurance.""order_count""",opendata_nodata.insurance
modified_date,,"opendata_nodata.insurance.""modified_date""",opendata_nodata.insurance
"▼ insurance_stage   (base table, 6 cols)",,,opendata_nodata.insurance_stage
date,,"opendata_nodata.insurance_stage.""date""",opendata_nodata.insurance_stage
bap_id,,"opendata_nodata.insurance_stage.""bap_id""",opendata_nodata.insurance_stage
bpp_id,,"opendata_nodata.insurance_stage.""bpp_id""",opendata_nodata.insurance_stage
category_code,,"opendata_nodata.insurance_stage.""category_code""",opendata_nodata.insurance_stage
domain,,"opendata_nodata.insurance_stage.""domain""",opendata_nodata.insurance_stage
order_count,,"opendata_nodata.insurance_stage.""order_count""",opendata_nodata.insurance_stage
"▼ md_b2b_data   (base table, 7 cols)",,,opendata_nodata.md_b2b_data
Date,,"opendata_nodata.md_b2b_data.""Date""",opendata_nodata.md_b2b_data
domain,,"opendata_nodata.md_b2b_data.""domain""",opendata_nodata.md_b2b_data
category,,"opendata_nodata.md_b2b_data.""category""",opendata_nodata.md_b2b_data
bnp,,"opendata_nodata.md_b2b_data.""bnp""",opendata_nodata.md_b2b_data
snp,,"opendata_nodata.md_b2b_data.""snp""",opendata_nodata.md_b2b_data
order_count,,"opendata_nodata.md_b2b_data.""order_count""",opendata_nodata.md_b2b_data
modified_date,,"opendata_nodata.md_b2b_data.""modified_date""",opendata_nodata.md_b2b_data
"▼ md_b2b_data_stage   (base table, 6 cols)",,,opendata_nodata.md_b2b_data_stage
Date,,"opendata_nodata.md_b2b_data_stage.""Date""",opendata_nodata.md_b2b_data_stage
domain,,"opendata_nodata.md_b2b_data_stage.""domain""",opendata_nodata.md_b2b_data_stage
category,,"opendata_nodata.md_b2b_data_stage.""category""",opendata_nodata.md_b2b_data_stage
bnp,,"opendata_nodata.md_b2b_data_stage.""bnp""",opendata_nodata.md_b2b_data_stage
snp,,"opendata_nodata.md_b2b_data_stage.""snp""",opendata_nodata.md_b2b_data_stage
order_count,,"opendata_nodata.md_b2b_data_stage.""order_count""",opendata_nodata.md_b2b_data_stage
"▼ md_b2c_data   (base table, 10 cols)",,,opendata_nodata.md_b2c_data
Date,,"opendata_nodata.md_b2c_data.""Date""",opendata_nodata.md_b2c_data
domain,,"opendata_nodata.md_b2c_data.""domain""",opendata_nodata.md_b2c_data
category,,"opendata_nodata.md_b2c_data.""category""",opendata_nodata.md_b2c_data
buyer_np,,"opendata_nodata.md_b2c_data.""buyer_np""",opendata_nodata.md_b2c_data
seller_np,,"opendata_nodata.md_b2c_data.""seller_np""",opendata_nodata.md_b2c_data
provider_key,,"opendata_nodata.md_b2c_data.""provider_key""",opendata_nodata.md_b2c_data
seller_pincode,,"opendata_nodata.md_b2c_data.""seller_pincode""",opendata_nodata.md_b2c_data
delivery_pincode,,"opendata_nodata.md_b2c_data.""delivery_pincode""",opendata_nodata.md_b2c_data
order_count,,"opendata_nodata.md_b2c_data.""order_count""",opendata_nodata.md_b2c_data
modified_date,,"opendata_nodata.md_b2c_data.""modified_date""",opendata_nodata.md_b2c_data
"▼ md_b2c_data_stage   (base table, 9 cols)",,,opendata_nodata.md_b2c_data_stage
Date,,"opendata_nodata.md_b2c_data_stage.""Date""",opendata_nodata.md_b2c_data_stage
domain,,"opendata_nodata.md_b2c_data_stage.""domain""",opendata_nodata.md_b2c_data_stage
category,,"opendata_nodata.md_b2c_data_stage.""category""",opendata_nodata.md_b2c_data_stage
buyer_np,,"opendata_nodata.md_b2c_data_stage.""buyer_np""",opendata_nodata.md_b2c_data_stage
seller_np,,"opendata_nodata.md_b2c_data_stage.""seller_np""",opendata_nodata.md_b2c_data_stage
