Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ dim_dates   (base table, 1 cols)",,,prod.dim_dates
order_date,,"prod.dim_dates.""order_date""",prod.dim_dates
"▼ dim_districts   (base table, 2 cols)",,,prod.dim_districts
delivery_state,,"prod.dim_districts.""delivery_state""",prod.dim_districts
delivery_district,,"prod.dim_districts.""delivery_district""",prod.dim_districts
"▼ dim_pincode   (base table, 4 cols)",,,prod.dim_pincode
Pincode,,"prod.dim_pincode.""Pincode""",prod.dim_pincode
Districtname,,"prod.dim_pincode.""Districtname""",prod.dim_pincode
Statename,,"prod.dim_pincode.""Statename""",prod.dim_pincode
Statecode,,"prod.dim_pincode.""Statecode""",prod.dim_pincode
"▼ dim_providers   (base table, 7 cols)",,,prod.dim_providers
provider_key,,"prod.dim_providers.""provider_key""",prod.dim_providers
order_date,,"prod.dim_providers.""order_date""",prod.dim_providers
category,,"prod.dim_providers.""category""",prod.dim_providers
sub_category,,"prod.dim_providers.""sub_category""",prod.dim_providers
seller_district,,"prod.dim_providers.""seller_district""",prod.dim_providers
seller_state,,"prod.dim_providers.""seller_state""",prod.dim_providers
seller_state_code,,"prod.dim_providers.""seller_state_code""",prod.dim_providers
"▼ district_wise_agg   (base table, 18 cols)",,,prod.district_wise_agg
domain,,"prod.district_wise_agg.""domain""",prod.district_wise_agg
sub_domain,,"prod.district_wise_agg.""sub_domain""",prod.district_wise_agg
order_month,,"prod.district_wise_agg.""order_month""",prod.district_wise_agg
order_year,,"prod.district_wise_agg.""order_year""",prod.district_wise_agg
order_week,,"prod.district_wise_agg.""order_week""",prod.district_wise_agg
delivery_district,,"prod.district_wise_agg.""delivery_district""",prod.district_wise_agg
delivery_state,,"prod.district_wise_agg.""delivery_state""",prod.district_wise_agg
delivery_state_code,,"prod.district_wise_agg.""delivery_state_code""",prod.district_wise_agg
seller_district,,"prod.district_wise_agg.""seller_district""",prod.district_wise_agg
seller_state,,"prod.district_wise_agg.""seller_state""",prod.district_wise_agg
seller_state_code,,"prod.district_wise_agg.""seller_state_code""",prod.district_wise_agg
total_orders_delivered,,"prod.district_wise_agg.""total_orders_delivered""",prod.district_wise_agg
pincode_count,,"prod.district_wise_agg.""pincode_count""",prod.district_wise_agg
total_items,,"prod.district_wise_agg.""total_items""",prod.district_wise_agg
intrastate_orders,,"prod.district_wise_agg.""intrastate_orders""",prod.district_wise_agg
intradistrict_orders,,"prod.district_wise_agg.""intradistrict_orders""",prod.district_wise_agg
interstate_orders,,"prod.district_wise_agg.""interstate_orders""",prod.district_wise_agg
interdistrict_orders,,"prod.district_wise_agg.""interdistrict_orders""",prod.district_wise_agg
"▼ fact_order_detail   (base table, 18 cols)",,,prod.fact_order_detail
network_order_id,,"prod.fact_order_detail.""network_order_id""",prod.fact_order_detail
sub_category,,"prod.fact_order_detail.""sub_category""",prod.fact_order_detail
seller_np,,"prod.fact_order_detail.""seller_np""",prod.fact_order_detail
total_items,,"prod.fact_order_detail.""total_items""",prod.fact_order_detail
domain,,"prod.fact_order_detail.""domain""",prod.fact_order_detail
provider_key,,"prod.fact_order_detail.""provider_key""",prod.fact_order_detail
order_status,,"prod.fact_order_detail.""order_status""",prod.fact_order_detail
seller_pincode,,"prod.fact_order_detail.""seller_pincode""",prod.fact_order_detail
delivery_pincode,,"prod.fact_order_detail.""delivery_pincode""",prod.fact_order_detail
order_date,,"prod.fact_order_detail.""order_date""",prod.fact_order_detail
consolidated_categories,,"prod.fact_order_detail.""consolidated_categories""",prod.fact_order_detail
multi_category_flag,,"prod.fact_order_detail.""multi_category_flag""",prod.fact_order_detail
delivery_district,,"prod.fact_order_detail.""delivery_district""",prod.fact_order_detail
delivery_state,,"prod.fact_order_detail.""delivery_state""",prod.fact_order_detail
delivery_state_code,,"prod.fact_order_detail.""delivery_state_code""",prod.fact_order_detail
seller_district,,"prod.fact_order_detail.""seller_district""",prod.fact_order_detail
seller_state,,"prod.fact_order_detail.""seller_state""",prod.fact_order_detail
seller_state_code,,"prod.fact_order_detail.""seller_state_code""",prod.fact_order_detail
"▼ fact_order_detail_b2b   (base table, 11 cols)",,,prod.fact_order_detail_b2b
network_order_id,,"prod.fact_order_detail_b2b.""network_order_id""",prod.fact_order_detail_b2b
seller_np,,"prod.fact_order_detail_b2b.""seller_np""",prod.fact_order_detail_b2b
total_items,,"prod.fact_order_detail_b2b.""total_items""",prod.fact_order_detail_b2b
domain,,"prod.fact_order_detail_b2b.""domain""",prod.fact_order_detail_b2b
provider_key,,"prod.fact_order_detail_b2b.""provider_key""",prod.fact_order_detail_b2b
order_status,,"prod.fact_order_detail_b2b.""order_status""",prod.fact_order_detail_b2b
delivery_pincode,,"prod.fact_order_detail_b2b.""delivery_pincode""",prod.fact_order_detail_b2b
order_date,,"prod.fact_order_detail_b2b.""order_date""",prod.fact_order_detail_b2b
delivery_district,,"prod.fact_order_detail_b2b.""delivery_district""",prod.fact_order_detail_b2b
delivery_state,,"prod.fact_order_detail_b2b.""delivery_state""",prod.fact_order_detail_b2b
delivery_state_code,,"prod.fact_order_detail_b2b.""delivery_state_code""",prod.fact_order_detail_b2b
"▼ landing_page_echart   (base table, 3 cols)",,,prod.landing_page_echart
month,,"prod.landing_page_echart.""month""",prod.landing_page_echart
domain,,"prod.landing_page_echart.""domain""",prod.landing_page_echart
order_count,,"prod.landing_page_echart.""order_count""",prod.landing_page_echart
"▼ logistics_active_sellers   (base table, 6 cols)",,,prod.logistics_active_sellers
provider_key,,"prod.logistics_active_sellers.""provider_key""",prod.logistics_active_sellers
seller_district,,"prod.logistics_active_sellers.""seller_district""",prod.logistics_active_sellers
seller_state,,"prod.logistics_active_sellers.""seller_state""",prod.logistics_active_sellers
seller_state_code,,"prod.logistics_active_sellers.""seller_state_code""",prod.logistics_active_sellers
order_month,,"prod.logistics_active_sellers.""order_month""",prod.logistics_active_sellers
order_year,,"prod.logistics_active_sellers.""order_year""",prod.logistics_active_sellers
"▼ logistics_district_level_orders   (base table, 14 cols)",,,prod.logistics_district_level_orders
order_date,,"prod.logistics_district_level_orders.""order_date""",prod.logistics_district_level_orders
delivery_district,,"prod.logistics_district_level_orders.""delivery_district""",prod.logistics_district_level_orders
delivery_state,,"prod.logistics_district_level_orders.""delivery_state""",prod.logistics_district_level_orders
delivery_state_code,,"prod.logistics_district_level_orders.""delivery_state_code""",prod.logistics_district_level_orders
seller_state,,"prod.logistics_district_level_orders.""seller_state""",prod.logistics_district_level_orders
seller_district,,"prod.logistics_district_level_orders.""seller_district""",prod.logistics_district_level_orders
seller_state_code,,"prod.logistics_district_level_orders.""seller_state_code""",prod.logistics_district_level_orders
total_orders_delivered,,"prod.logistics_district_level_orders.""total_orders_delivered""",prod.logistics_district_level_orders
pincode_count,,"prod.logistics_district_level_orders.""pincode_count""",prod.logistics_district_level_orders
intrastate_orders,,"prod.logistics_district_level_orders.""intrastate_orders""",prod.logistics_district_level_orders
intradistrict_orders,,"prod.logistics_district_level_orders.""intradistrict_orders""",prod.logistics_district_level_orders
interstate_orders,,"prod.logistics_district_level_orders.""interstate_orders""",prod.logistics_district_level_orders
intrastate_orders_percentage,,"prod.logistics_district_level_orders.""intrastate_orders_percentage""",prod.logistics_district_level_orders
intradistrict_orders_percentage,,"prod.logistics_district_level_orders.""intradistrict_orders_percentage""",prod.logistics_district_level_orders
"▼ logistics_fact_order_detail   (base table, 25 cols)",,,prod.logistics_fact_order_detail
bap_id,,"prod.logistics_fact_order_detail.""bap_id""",prod.logistics_fact_order_detail
bpp_id,,"prod.logistics_fact_order_detail.""bpp_id""",prod.logistics_fact_order_detail
provider_id,,"prod.logistics_fact_order_detail.""provider_id""",prod.logistics_fact_order_detail
order_id,,"prod.logistics_fact_order_detail.""order_id""",prod.logistics_fact_order_detail
transaction_id,,"prod.logistics_fact_order_detail.""transaction_id""",prod.logistics_fact_order_detail
item_id,,"prod.logistics_fact_order_detail.""item_id""",prod.logistics_fact_order_detail
fulfillment_status,,"prod.logistics_fact_order_detail.""fulfillment_status""",prod.logistics_fact_order_detail
order_date,,"prod.logistics_fact_order_detail.""order_date""",prod.logistics_fact_order_detail
domain,,"prod.logistics_fact_order_detail.""domain""",prod.logistics_fact_order_detail
f_agent_assigned_at_date,,"prod.logistics_fact_order_detail.""f_agent_assigned_at_date""",prod.logistics_fact_order_detail
Log_Ondc_Status,,"prod.logistics_fact_order_detail.""Log_Ondc_Status""",prod.logistics_fact_order_detail
network_retail_order_id,,"prod.logistics_fact_order_detail.""network_retail_order_id""",prod.logistics_fact_order_detail
shipment_type,,"prod.logistics_fact_order_detail.""shipment_type""",prod.logistics_fact_order_detail
pick_up_pincode,,"prod.logistics_fact_order_detail.""pick_up_pincode""",prod.logistics_fact_order_detail
delivery_pincode,,"prod.logistics_fact_order_detail.""delivery_pincode""",prod.logistics_fact_order_detail
network_retail_order_category,,"prod.logistics_fact_order_detail.""network_retail_order_category""",prod.logistics_fact_order_detail
on_confirm_sync_response,,"prod.logistics_fact_order_detail.""on_confirm_sync_response""",prod.logistics_fact_order_detail
on_confirm_error_code,,"prod.logistics_fact_order_detail.""on_confirm_error_code""",prod.logistics_fact_order_detail
on_confirm_error_message,,"prod.logistics_fact_order_detail.""on_confirm_error_message""",prod.logistics_fact_order_detail
delivery_district,,"prod.logistics_fact_order_detail.""delivery_district""",prod.logistics_fact_order_detail
delivery_state,,"prod.logistics_fact_order_detail.""delivery_state""",prod.logistics_fact_order_detail
delivery_state_code,,"prod.logistics_fact_order_detail.""delivery_state_code""",prod.logistics_fact_order_detail
seller_district,,"prod.logistics_fact_order_detail.""seller_district""",prod.logistics_fact_order_detail
seller_state,,"prod.logistics_fact_order_detail.""seller_state""",prod.logistics_fact_order_detail
seller_state_code,,"prod.logistics_fact_order_detail.""seller_state_code""",prod.logistics_fact_order_detail
"▼ logistics_providers   (base table, 5 cols)",,,prod.logistics_providers
provider_key,,"prod.logistics_providers.""provider_key""",prod.logistics_providers
order_date,,"prod.logistics_providers.""order_date""",prod.logistics_providers
seller_state_code,,"prod.logistics_providers.""seller_state_code""",prod.logistics_providers
seller_state,,"prod.logistics_providers.""seller_state""",prod.logistics_providers
seller_district,,"prod.logistics_providers.""seller_district""",prod.logistics_providers
"▼ monthly_providers   (base table, 6 cols)",,,prod.monthly_providers
provider_key,,"prod.monthly_providers.""provider_key""",prod.monthly_providers
seller_district,,"prod.monthly_providers.""seller_district""",prod.monthly_providers
seller_state,,"prod.monthly_providers.""seller_state""",prod.monthly_providers
seller_state_code,,"prod.monthly_providers.""seller_state_code""",prod.monthly_providers
order_month,,"prod.monthly_providers.""order_month""",prod.monthly_providers
order_year,,"prod.monthly_providers.""order_year""",prod.monthly_providers
"▼ ondc_dashboard_version   (base table, 6 cols)",,,prod.ondc_dashboard_version
id,,"prod.ondc_dashboard_version.""id""",prod.ondc_dashboard_version
major,,"prod.ondc_dashboard_version.""major""",prod.ondc_dashboard_version
minor,,"prod.ondc_dashboard_version.""minor""",prod.ondc_dashboard_version
minor_minor,,"prod.ondc_dashboard_version.""minor_minor""",prod.ondc_dashboard_version
run_date,,"prod.ondc_dashboard_version.""run_date""",prod.ondc_dashboard_version
hot_fix_file_name,,"prod.ondc_dashboard_version.""hot_fix_file_name""",prod.ondc_dashboard_version
"▼ retail_b2b_district_level_orders   (base table, 6 cols)",,,prod.retail_b2b_district_level_orders
order_date,,"prod.retail_b2b_district_level_orders.""order_date""",prod.retail_b2b_district_level_orders
delivery_district,,"prod.retail_b2b_district_level_orders.""delivery_district""",prod.retail_b2b_district_level_orders
delivery_state,,"prod.retail_b2b_district_level_orders.""delivery_state""",prod.retail_b2b_district_level_orders
delivery_state_code,,"prod.retail_b2b_district_level_orders.""delivery_state_code""",prod.retail_b2b_district_level_orders
total_orders_delivered,,"prod.retail_b2b_district_level_orders.""total_orders_delivered""",prod.retail_b2b_district_level_orders
total_items,,"prod.retail_b2b_district_level_orders.""total_items""",prod.retail_b2b_district_level_orders
"▼ retail_voucher_fact_order_detail   (base table, 10 cols)",,,prod.retail_voucher_fact_order_detail
network_order_id,,"prod.retail_voucher_fact_order_detail.""network_order_id""",prod.retail_voucher_fact_order_detail
provider_key,,"prod.retail_voucher_fact_order_detail.""provider_key""",prod.retail_voucher_fact_order_detail
total_items,,"prod.retail_voucher_fact_order_detail.""total_items""",prod.retail_voucher_fact_order_detail
domain,,"prod.retail_voucher_fact_order_detail.""domain""",prod.retail_voucher_fact_order_detail
order_status,,"prod.retail_voucher_fact_order_detail.""order_status""",prod.retail_voucher_fact_order_detail
delivery_pincode,,"prod.retail_voucher_fact_order_detail.""delivery_pincode""",prod.retail_voucher_fact_order_detail
order_date,,"prod.retail_voucher_fact_order_detail.""order_date""",prod.retail_voucher_fact_order_detail
delivery_district,,"prod.retail_voucher_fact_order_detail.""delivery_district""",prod.retail_voucher_fact_order_detail
delivery_state,,"prod.retail_voucher_fact_order_detail.""delivery_state""",prod.retail_voucher_fact_order_detail
delivery_state_code,,"prod.retail_voucher_fact_order_detail.""delivery_state_code""",prod.retail_voucher_fact_order_detail
"▼ static_summary   (base table, 4 cols)",,,prod.static_summary
month,,"prod.static_summary.""month""",prod.static_summary
domain,,"prod.static_summary.""domain""",prod.static_summary
order_count,,"prod.static_summary.""order_count""",prod.static_summary
updated_at,,"prod.static_summary.""updated_at""",prod.static_summary
