Column Name,Description in Plain English,Logic / Formula,Source Table(s)
"▼ dim_dates   (base table, 1 cols)",,,prod_bkp.dim_dates
order_date,,"prod_bkp.dim_dates.""order_date""",prod_bkp.dim_dates
"▼ dim_districts   (base table, 2 cols)",,,prod_bkp.dim_districts
delivery_state,,"prod_bkp.dim_districts.""delivery_state""",prod_bkp.dim_districts
delivery_district,,"prod_bkp.dim_districts.""delivery_district""",prod_bkp.dim_districts
"▼ district_level_orders   (base table, 16 cols)",,,prod_bkp.district_level_orders
order_date,,"prod_bkp.district_level_orders.""order_date""",prod_bkp.district_level_orders
delivery_district,,"prod_bkp.district_level_orders.""delivery_district""",prod_bkp.district_level_orders
delivery_state,,"prod_bkp.district_level_orders.""delivery_state""",prod_bkp.district_level_orders
delivery_state_code,,"prod_bkp.district_level_orders.""delivery_state_code""",prod_bkp.district_level_orders
seller_district,,"prod_bkp.district_level_orders.""seller_district""",prod_bkp.district_level_orders
seller_state,,"prod_bkp.district_level_orders.""seller_state""",prod_bkp.district_level_orders
seller_state_code,,"prod_bkp.district_level_orders.""seller_state_code""",prod_bkp.district_level_orders
total_orders_delivered,,"prod_bkp.district_level_orders.""total_orders_delivered""",prod_bkp.district_level_orders
pincode_count,,"prod_bkp.district_level_orders.""pincode_count""",prod_bkp.district_level_orders
total_items,,"prod_bkp.district_level_orders.""total_items""",prod_bkp.district_level_orders
intrastate_orders,,"prod_bkp.district_level_orders.""intrastate_orders""",prod_bkp.district_level_orders
interstate_orders,,"prod_bkp.district_level_orders.""interstate_orders""",prod_bkp.district_level_orders
intradistrict_orders,,"prod_bkp.district_level_orders.""intradistrict_orders""",prod_bkp.district_level_orders
interdistrict_orders,,"prod_bkp.district_level_orders.""interdistrict_orders""",prod_bkp.district_level_orders
intrastate_orders_percentage,,"prod_bkp.district_level_orders.""intrastate_orders_percentage""",prod_bkp.district_level_orders
intradistrict_orders_percentage,,"prod_bkp.district_level_orders.""intradistrict_orders_percentage""",prod_bkp.district_level_orders
"▼ district_wise_monthly_aggregates   (base table, 13 cols)",,,prod_bkp.district_wise_monthly_aggregates
domain_name,,"prod_bkp.district_wise_monthly_aggregates.""domain_name""",prod_bkp.district_wise_monthly_aggregates
sub_domain,,"prod_bkp.district_wise_monthly_aggregates.""sub_domain""",prod_bkp.district_wise_monthly_aggregates
order_month,,"prod_bkp.district_wise_monthly_aggregates.""order_month""",prod_bkp.district_wise_monthly_aggregates
order_year,,"prod_bkp.district_wise_monthly_aggregates.""order_year""",prod_bkp.district_wise_monthly_aggregates
delivery_district,,"prod_bkp.district_wise_monthly_aggregates.""delivery_district""",prod_bkp.district_wise_monthly_aggregates
delivery_state,,"prod_bkp.district_wise_monthly_aggregates.""delivery_state""",prod_bkp.district_wise_monthly_aggregates
delivery_state_code,,"prod_bkp.district_wise_monthly_aggregates.""delivery_state_code""",prod_bkp.district_wise_monthly_aggregates
seller_district,,"prod_bkp.district_wise_monthly_aggregates.""seller_district""",prod_bkp.district_wise_monthly_aggregates
seller_state,,"prod_bkp.district_wise_monthly_aggregates.""seller_state""",prod_bkp.district_wise_monthly_aggregates
