Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ Ordernhm_new   (view, 31 cols)",,,analytics_insight.Ordernhm_new,"WITH base_igm AS (
         SELECT retail_order_igm.network_order_id
           FROM analytics_insight.retail_order_igm
          WHERE
                CASE
                    WHEN NOT retail_order_igm.issue_sync_response IS DISTINCT FROM 'NACK'::text OR COALESCE(TRIM(BOTH FROM retail_order_igm.on_issue_error_code), ''::text) <> ''::text THEN 1
                    ELSE 0
                END = 1
          GROUP BY retail_order_igm.network_order_id
        )
 SELECT ol.""Buyer NP"",
    ol.""Seller NP"",
        CASE
            WHEN ol.""Date"" >= (CURRENT_DATE - '6 mons'::interval) THEN ol.""Network order id""
            ELSE NULL::character varying
        END AS ""Network order id"",
    lower((ol.""Seller NP""::text || '_'::text) || ol.""Provider Id""::text) AS ""provider key"",
    ol.""Provider Id"",
    ol.""Seller Name"",
    ol.""Seller Pincode"",
    ol.""Delivery Pincode"",
    ol.cancellation_code,
    ol.""Created at"",
    ol.""Date"",
        CASE
            WHEN lo.retail_order_id IS NULL THEN 'Off Network'::text
            ELSE 'On Network'::text
        END AS logistics_type,
    ol.domain,
    ol.""on-time-del"",
        CASE
            WHEN ol.""Date"" >= (CURRENT_DATE - '6 mons'::interval) THEN date_trunc('minute'::text, ol.""Shipped at"")
            ELSE NULL::timestamp without time zone
        END AS ""Shipped at"",
        CASE
            WHEN ol.""Date"" >= (CURRENT_DATE - '6 mons'::interval) THEN date_trunc('minute'::text, ol.""Ready to Ship"")
            ELSE NULL::timestamp without time zone
        END AS ""Ready to Ship"",
    ol.""Promised time"",
    ol.tat_dif,
    ol.tat_diff_days,
    ol.day_diff,
    ol.min_diff,
    ol.tat_time,
    ol.no_key,
    ol.""ONDC order_status"",
    ol.""Updated at"",
    ol.""Category"",
    ol.""Consolidated_category"",
    ol.c_context_timestamp,
    ol.is_force_cancelled,
        CASE
            WHEN (ol.""Promised time"" - ol.""Created at"") > '24:00:00'::interval THEN '>24'::text
            WHEN (ol.""Promised time"" - ol.""Created at"") <= '24:00:00'::interval THEN '<=24'::text
            ELSE 'Undefined'::text
        END AS ""PTAT_Threshold"",
        CASE
            WHEN (EXISTS ( SELECT 1
               FROM base_igm b
              WHERE b.network_order_id = ol.""Network order id""::text)) THEN 'yes'::text
            ELSE 'no'::text
        END AS order_with_atleast_one_issue
   FROM analytics_insight.order_level ol
     LEFT JOIN logistics.linked_order_id lo ON ol.""Network order id""::text = lo.retail_order_id::text;"
Buyer NP,Data representing the buyer np.,"analytics_insight.Ordernhm_new.""Buyer NP""",analytics_insight.Ordernhm_new,
Seller NP,Data representing the seller np.,"analytics_insight.Ordernhm_new.""Seller NP""",analytics_insight.Ordernhm_new,
Network order id,Data representing the network order id.,"analytics_insight.Ordernhm_new.""Network order id""",analytics_insight.Ordernhm_new,
provider key,Unique identifier for provider key.,"analytics_insight.Ordernhm_new.""provider key""",analytics_insight.Ordernhm_new,
Provider Id,Unique identifier for the provider.,"analytics_insight.Ordernhm_new.""Provider Id""",analytics_insight.Ordernhm_new,
Seller Name,Name of the seller.,"analytics_insight.Ordernhm_new.""Seller Name""",analytics_insight.Ordernhm_new,
Seller Pincode,Indian postal code (pincode).,"analytics_insight.Ordernhm_new.""Seller Pincode""",analytics_insight.Ordernhm_new,
Delivery Pincode,Indian postal code (pincode).,"analytics_insight.Ordernhm_new.""Delivery Pincode""",analytics_insight.Ordernhm_new,
cancellation_code,Timestamp or date indicating when cancellation code occurred.,"analytics_insight.Ordernhm_new.""cancellation_code""",analytics_insight.Ordernhm_new,
Created at,Timestamp when the record was created.,"analytics_insight.Ordernhm_new.""Created at""",analytics_insight.Ordernhm_new,
Date,Timestamp or date indicating when date occurred.,"analytics_insight.Ordernhm_new.""Date""",analytics_insight.Ordernhm_new,
logistics_type,Data representing the logistics type.,"analytics_insight.Ordernhm_new.""logistics_type""",analytics_insight.Ordernhm_new,
domain,"The ONDC network domain (e.g., retail, logistics).","analytics_insight.Ordernhm_new.""domain""",analytics_insight.Ordernhm_new,
on-time-del,Timestamp or date indicating when on-time-del occurred.,"analytics_insight.Ordernhm_new.""on-time-del""",analytics_insight.Ordernhm_new,
Shipped at,Timestamp or date indicating when shipped at occurred.,"analytics_insight.Ordernhm_new.""Shipped at""",analytics_insight.Ordernhm_new,
Ready to Ship,Data representing the ready to ship.,"analytics_insight.Ordernhm_new.""Ready to Ship""",analytics_insight.Ordernhm_new,
Promised time,Timestamp or date indicating when promised time occurred.,"analytics_insight.Ordernhm_new.""Promised time""",analytics_insight.Ordernhm_new,
tat_dif,Turn-Around-Time (TAT) measurement.,"analytics_insight.Ordernhm_new.""tat_dif""",analytics_insight.Ordernhm_new,
tat_diff_days,Turn-Around-Time (TAT) measurement.,"analytics_insight.Ordernhm_new.""tat_diff_days""",analytics_insight.Ordernhm_new,
day_diff,Data representing the day diff.,"analytics_insight.Ordernhm_new.""day_diff""",analytics_insight.Ordernhm_new,
min_diff,Data representing the min diff.,"analytics_insight.Ordernhm_new.""min_diff""",analytics_insight.Ordernhm_new,
tat_time,Turn-Around-Time (TAT) measurement.,"analytics_insight.Ordernhm_new.""tat_time""",analytics_insight.Ordernhm_new,
no_key,Data representing the no key.,"analytics_insight.Ordernhm_new.""no_key""",analytics_insight.Ordernhm_new,
ONDC order_status,Turn-Around-Time (TAT) measurement.,"analytics_insight.Ordernhm_new.""ONDC order_status""",analytics_insight.Ordernhm_new,
Updated at,Timestamp when the record was last updated.,"analytics_insight.Ordernhm_new.""Updated at""",analytics_insight.Ordernhm_new,
Category,Timestamp or date indicating when category occurred.,"analytics_insight.Ordernhm_new.""Category""",analytics_insight.Ordernhm_new,
Consolidated_category,Timestamp or date indicating when consolidated category occurred.,"analytics_insight.Ordernhm_new.""Consolidated_category""",analytics_insight.Ordernhm_new,
c_context_timestamp,Timestamp or date indicating when c context timestamp occurred.,"analytics_insight.Ordernhm_new.""c_context_timestamp""",analytics_insight.Ordernhm_new,
