Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ logistics_stck_mv   (materialized view, 20 cols)",,,analytics_insight_preprod.logistics_stck_mv,"WITH table1 AS (
         SELECT master_log.bap_id,
            master_log.bpp_id,
            master_log.order_id,
            master_log.transaction_id,
            master_log.date,
            master_log.order_created_at,
            master_log.cancellation_code,
            master_log.retail_order_id,
            master_log.pick_up_pincode,
            master_log.delivery_pincode,
            master_log.retail_category,
            master_log.shipment_type,
            master_log.provider_name,
                CASE
                    WHEN master_log.f_agent_assigned_at_date IS NULL THEN 0
                    ELSE 1
                END AS assigned,
            master_log.cancelled_date,
            master_log.picked_date,
                CASE
                    WHEN master_log.delivered_date IS NULL AND master_log.cancelled_date IS NOT NULL THEN 'Cancelled'::character varying
                    WHEN master_log.delivered_date IS NOT NULL AND master_log.cancelled_date IS NULL THEN 'Completed'::character varying
                    ELSE master_log.latest_order_status
                END AS order_status,
            row_number() OVER (PARTITION BY (COALESCE(master_log.retail_order_id, master_log.order_id)) ORDER BY master_log.order_created_at DESC) AS dedup,
            row_number() OVER (PARTITION BY master_log.order_id, master_log.transaction_id, master_log.bap_id, master_log.bpp_id, master_log.order_created_at ORDER BY master_log.order_created_at DESC) AS rn_order
           FROM logistics.master_log
          WHERE master_log.date >= (date(now()) - '30 days'::interval day) AND master_log.drop_row = 0
        )
 SELECT t1.bap_id,
    t1.bpp_id,
    t1.order_id,
    t1.retail_order_id,
    t1.transaction_id,
    t1.date,
    t1.order_created_at,
    t1.cancellation_code,
    t1.order_status AS latest_order_status,
        CASE
            WHEN t2.""Network order id"" IS NULL THEN 'Independent'::text
            ELSE 'Linked'::text
        END AS ""Linked"",
    t1.shipment_type,
    COALESCE(t1.provider_name, 'Undefined'::character varying) AS provider_name,
    t1.pick_up_pincode,
    t1.delivery_pincode,
    t1.retail_category,
    t1.assigned,
    t1.cancelled_date,
    t1.picked_date,
    t1.dedup,
    t1.rn_order
   FROM table1 t1
     LEFT JOIN analytics_insight.order_level_60days_mv t2 ON t1.retail_order_id::text = t2.""Network order id""::text;"
bap_id,Unique identifier for the Buyer App (BAP).,"analytics_insight_preprod.logistics_stck_mv.""bap_id""",analytics_insight_preprod.logistics_stck_mv,
bpp_id,Unique identifier for the Seller App (BPP).,"analytics_insight_preprod.logistics_stck_mv.""bpp_id""",analytics_insight_preprod.logistics_stck_mv,
order_id,Unique identifier for order.,"analytics_insight_preprod.logistics_stck_mv.""order_id""",analytics_insight_preprod.logistics_stck_mv,
retail_order_id,Unique identifier for retail order.,"analytics_insight_preprod.logistics_stck_mv.""retail_order_id""",analytics_insight_preprod.logistics_stck_mv,
transaction_id,Unique ONDC transaction identifier.,"analytics_insight_preprod.logistics_stck_mv.""transaction_id""",analytics_insight_preprod.logistics_stck_mv,
date,Timestamp or date indicating when date occurred.,"analytics_insight_preprod.logistics_stck_mv.""date""",analytics_insight_preprod.logistics_stck_mv,
order_created_at,Timestamp when the record was created.,"analytics_insight_preprod.logistics_stck_mv.""order_created_at""",analytics_insight_preprod.logistics_stck_mv,
cancellation_code,Timestamp or date indicating when cancellation code occurred.,"analytics_insight_preprod.logistics_stck_mv.""cancellation_code""",analytics_insight_preprod.logistics_stck_mv,
latest_order_status,Turn-Around-Time (TAT) measurement.,"analytics_insight_preprod.logistics_stck_mv.""latest_order_status""",analytics_insight_preprod.logistics_stck_mv,
Linked,Data representing the linked.,"analytics_insight_preprod.logistics_stck_mv.""Linked""",analytics_insight_preprod.logistics_stck_mv,
shipment_type,Data representing the shipment type.,"analytics_insight_preprod.logistics_stck_mv.""shipment_type""",analytics_insight_preprod.logistics_stck_mv,
provider_name,Unique identifier for provider name.,"analytics_insight_preprod.logistics_stck_mv.""provider_name""",analytics_insight_preprod.logistics_stck_mv,
