Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_bap_mobility   (base table, 4 cols)",,,dimension.dim_bap_mobility,
bap_id,Unique identifier for the Buyer App (BAP).,"dimension.dim_bap_mobility.""bap_id""",dimension.dim_bap_mobility,
bap_name,Name of the bap.,"dimension.dim_bap_mobility.""bap_name""",dimension.dim_bap_mobility,
domain,"The ONDC network domain (e.g., retail, logistics).","dimension.dim_bap_mobility.""domain""",dimension.dim_bap_mobility,
tsp_powered,Data representing the tsp powered.,"dimension.dim_bap_mobility.""tsp_powered""",dimension.dim_bap_mobility,
"▼ dim_bpp_mobility   (base table, 3 cols)",,,dimension.dim_bpp_mobility,
bpp_id,Unique identifier for the Seller App (BPP).,"dimension.dim_bpp_mobility.""bpp_id""",dimension.dim_bpp_mobility,
bpp_name,Name of the bpp.,"dimension.dim_bpp_mobility.""bpp_name""",dimension.dim_bpp_mobility,
tsp_powered,Data representing the tsp powered.,"dimension.dim_bpp_mobility.""tsp_powered""",dimension.dim_bpp_mobility,
"▼ dim_cancellation_code   (base table, 7 cols)",,,dimension.dim_cancellation_code,CREATE UNIQUE INDEX idx_dim_cancellation_code_unique ON dimension.dim_cancellation_code USING btree (code)
code,Data representing the code.,"dimension.dim_cancellation_code.""code""",dimension.dim_cancellation_code,
reason_for_cancellation,Timestamp or date indicating when reason for cancellation occurred.,"dimension.dim_cancellation_code.""reason_for_cancellation""",dimension.dim_cancellation_code,
is_triggers_rto,Indicates Return To Origin (RTO) status.,"dimension.dim_cancellation_code.""is_triggers_rto""",dimension.dim_cancellation_code,
by,Data representing the by.,"dimension.dim_cancellation_code.""by""",dimension.dim_cancellation_code,
attributed_to,Timestamp or date indicating when attributed to occurred.,"dimension.dim_cancellation_code.""attributed_to""",dimension.dim_cancellation_code,
whether_applicable_for_part_cancel,Data representing the whether applicable for part cancel.,"dimension.dim_cancellation_code.""whether_applicable_for_part_cancel""",dimension.dim_cancellation_code,
