Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_categories   (base table, 2 cols)",,,external.dim_categories,"CREATE INDEX dim_categories_sub_category_idx ON external.dim_categories USING btree (sub_category)

CREATE INDEX dim_categories_category_idx ON external.dim_categories USING btree (category)"
category,Timestamp or date indicating when category occurred.,"external.dim_categories.""category""",external.dim_categories,
sub_category,Timestamp or date indicating when sub category occurred.,"external.dim_categories.""sub_category""",external.dim_categories,
"▼ dim_dates   (base table, 1 cols)",,,external.dim_dates,CREATE INDEX dim_dates_order_date_idx ON external.dim_dates USING btree (order_date)
order_date,Timestamp or date indicating when order date occurred.,"external.dim_dates.""order_date""",external.dim_dates,
"▼ dim_districts   (base table, 2 cols)",,,external.dim_districts,"CREATE INDEX dim_districts_delivery_state_idx ON external.dim_districts USING btree (delivery_state)

CREATE INDEX dim_districts_delivery_district_idx ON external.dim_districts USING btree (delivery_district)"
delivery_state,Turn-Around-Time (TAT) measurement.,"external.dim_districts.""delivery_state""",external.dim_districts,
delivery_district,Data representing the delivery district.,"external.dim_districts.""delivery_district""",external.dim_districts,
"▼ dim_pincode   (base table, 4 cols)",,,external.dim_pincode,
pincode,Indian postal code (pincode).,"external.dim_pincode.""pincode""",external.dim_pincode,
district_name,Name of the district.,"external.dim_pincode.""district_name""",external.dim_pincode,
state_name,Turn-Around-Time (TAT) measurement.,"external.dim_pincode.""state_name""",external.dim_pincode,
state_code,Turn-Around-Time (TAT) measurement.,"external.dim_pincode.""state_code""",external.dim_pincode,
"▼ dim_providers   (base table, 7 cols)",,,external.dim_providers,
provider_key,Unique identifier for provider key.,"external.dim_providers.""provider_key""",external.dim_providers,
order_date,Timestamp or date indicating when order date occurred.,"external.dim_providers.""order_date""",external.dim_providers,
category,Timestamp or date indicating when category occurred.,"external.dim_providers.""category""",external.dim_providers,
sub_category,Timestamp or date indicating when sub category occurred.,"external.dim_providers.""sub_category""",external.dim_providers,
seller_district,Data representing the seller district.,"external.dim_providers.""seller_district""",external.dim_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"external.dim_providers.""seller_state""",external.dim_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"external.dim_providers.""seller_state_code""",external.dim_providers,
"▼ district_wise_agg   (base table, 18 cols)",,,external.district_wise_agg,"CREATE INDEX district_wise_agg_domain_idx ON external.district_wise_agg USING btree (domain)

CREATE INDEX district_wise_agg_seller_district_idx ON external.district_wise_agg USING btree (seller_district)

CREATE INDEX district_wise_agg_sub_domain_idx ON external.district_wise_agg USING btree (sub_domain)

CREATE INDEX district_wise_agg_delivery_district_idx ON external.district_wise_agg USING btree (delivery_district)

CREATE INDEX district_wise_agg_delivery_state_idx ON external.district_wise_agg USING btree (delivery_state)

CREATE INDEX district_wise_agg_seller_state_idx ON external.district_wise_agg USING btree (seller_state)"
domain,"The ONDC network domain (e.g., retail, logistics).","external.district_wise_agg.""domain""",external.district_wise_agg,
sub_domain,"The ONDC network domain (e.g., retail, logistics).","external.district_wise_agg.""sub_domain""",external.district_wise_agg,
order_month,Data representing the order month.,"external.district_wise_agg.""order_month""",external.district_wise_agg,
order_year,Data representing the order year.,"external.district_wise_agg.""order_year""",external.district_wise_agg,
order_week,Data representing the order week.,"external.district_wise_agg.""order_week""",external.district_wise_agg,
delivery_district,Data representing the delivery district.,"external.district_wise_agg.""delivery_district""",external.district_wise_agg,
delivery_state,Turn-Around-Time (TAT) measurement.,"external.district_wise_agg.""delivery_state""",external.district_wise_agg,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"external.district_wise_agg.""delivery_state_code""",external.district_wise_agg,
seller_district,Data representing the seller district.,"external.district_wise_agg.""seller_district""",external.district_wise_agg,
seller_state,Turn-Around-Time (TAT) measurement.,"external.district_wise_agg.""seller_state""",external.district_wise_agg,
seller_state_code,Turn-Around-Time (TAT) measurement.,"external.district_wise_agg.""seller_state_code""",external.district_wise_agg,
total_orders_delivered,Data representing the total orders delivered.,"external.district_wise_agg.""total_orders_delivered""",external.district_wise_agg,
pincode_count,Indian postal code (pincode).,"external.district_wise_agg.""pincode_count""",external.district_wise_agg,
total_items,Data representing the total items.,"external.district_wise_agg.""total_items""",external.district_wise_agg,
