Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ bnp_view_potential_order   (base table, 9 cols)",,,no_recommendation.bnp_view_potential_order,
date,Timestamp or date indicating when date occurred.,"no_recommendation.bnp_view_potential_order.""date""",no_recommendation.bnp_view_potential_order,
time_frame,Timestamp or date indicating when time frame occurred.,"no_recommendation.bnp_view_potential_order.""time_frame""",no_recommendation.bnp_view_potential_order,
pincode,Indian postal code (pincode).,"no_recommendation.bnp_view_potential_order.""pincode""",no_recommendation.bnp_view_potential_order,
seller_count,Data representing the seller count.,"no_recommendation.bnp_view_potential_order.""seller_count""",no_recommendation.bnp_view_potential_order,
qsr_seller,Data representing the qsr seller.,"no_recommendation.bnp_view_potential_order.""qsr_seller""",no_recommendation.bnp_view_potential_order,
potential_orders,Data representing the potential orders.,"no_recommendation.bnp_view_potential_order.""potential_orders""",no_recommendation.bnp_view_potential_order,
select_calls,Data representing the select calls.,"no_recommendation.bnp_view_potential_order.""select_calls""",no_recommendation.bnp_view_potential_order,
error,Data representing the error.,"no_recommendation.bnp_view_potential_order.""error""",no_recommendation.bnp_view_potential_order,
logistics_cancel,Data representing the logistics cancel.,"no_recommendation.bnp_view_potential_order.""logistics_cancel""",no_recommendation.bnp_view_potential_order,
"▼ bnp_view_potential_order_old   (base table, 9 cols)",,,no_recommendation.bnp_view_potential_order_old,
date,Timestamp or date indicating when date occurred.,"no_recommendation.bnp_view_potential_order_old.""date""",no_recommendation.bnp_view_potential_order_old,
time_frame,Timestamp or date indicating when time frame occurred.,"no_recommendation.bnp_view_potential_order_old.""time_frame""",no_recommendation.bnp_view_potential_order_old,
pincode,Indian postal code (pincode).,"no_recommendation.bnp_view_potential_order_old.""pincode""",no_recommendation.bnp_view_potential_order_old,
seller_count,Data representing the seller count.,"no_recommendation.bnp_view_potential_order_old.""seller_count""",no_recommendation.bnp_view_potential_order_old,
qsr_seller,Data representing the qsr seller.,"no_recommendation.bnp_view_potential_order_old.""qsr_seller""",no_recommendation.bnp_view_potential_order_old,
potential_orders,Data representing the potential orders.,"no_recommendation.bnp_view_potential_order_old.""potential_orders""",no_recommendation.bnp_view_potential_order_old,
select_calls,Data representing the select calls.,"no_recommendation.bnp_view_potential_order_old.""select_calls""",no_recommendation.bnp_view_potential_order_old,
error,Data representing the error.,"no_recommendation.bnp_view_potential_order_old.""error""",no_recommendation.bnp_view_potential_order_old,
logistics_cancel,Data representing the logistics cancel.,"no_recommendation.bnp_view_potential_order_old.""logistics_cancel""",no_recommendation.bnp_view_potential_order_old,
"▼ dim_pincode   (base table, 4 cols)",,,no_recommendation.dim_pincode,CREATE INDEX idx_dim_pincode ON no_recommendation.dim_pincode USING btree (pincode)
pincode,Indian postal code (pincode).,"no_recommendation.dim_pincode.""pincode""",no_recommendation.dim_pincode,
state_name,Turn-Around-Time (TAT) measurement.,"no_recommendation.dim_pincode.""state_name""",no_recommendation.dim_pincode,
district_name,Name of the district.,"no_recommendation.dim_pincode.""district_name""",no_recommendation.dim_pincode,
state_code,Turn-Around-Time (TAT) measurement.,"no_recommendation.dim_pincode.""state_code""",no_recommendation.dim_pincode,
"▼ dim_pincode_new   (base table, 3 cols)",,,no_recommendation.dim_pincode_new,
pincode,Indian postal code (pincode).,"no_recommendation.dim_pincode_new.""pincode""",no_recommendation.dim_pincode_new,
state_name,Turn-Around-Time (TAT) measurement.,"no_recommendation.dim_pincode_new.""state_name""",no_recommendation.dim_pincode_new,
district_name,Name of the district.,"no_recommendation.dim_pincode_new.""district_name""",no_recommendation.dim_pincode_new,
"▼ dim_seller_np   (base table, 2 cols)",,,no_recommendation.dim_seller_np,
name,Name of the name.,"no_recommendation.dim_seller_np.""name""",no_recommendation.dim_seller_np,
seller_np,Data representing the seller np.,"no_recommendation.dim_seller_np.""seller_np""",no_recommendation.dim_seller_np,
