Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_pincode   (base table, 4 cols)",,,opendata_nodata.dim_pincode,
pincode,Indian postal code (pincode).,"opendata_nodata.dim_pincode.""pincode""",opendata_nodata.dim_pincode,
district_name,Name of the district.,"opendata_nodata.dim_pincode.""district_name""",opendata_nodata.dim_pincode,
state_name,Turn-Around-Time (TAT) measurement.,"opendata_nodata.dim_pincode.""state_name""",opendata_nodata.dim_pincode,
state_code,Turn-Around-Time (TAT) measurement.,"opendata_nodata.dim_pincode.""state_code""",opendata_nodata.dim_pincode,
"▼ insurance   (base table, 7 cols)",,,opendata_nodata.insurance,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.insurance.""date""",opendata_nodata.insurance,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.insurance.""bap_id""",opendata_nodata.insurance,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.insurance.""bpp_id""",opendata_nodata.insurance,
category_code,Timestamp or date indicating when category code occurred.,"opendata_nodata.insurance.""category_code""",opendata_nodata.insurance,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.insurance.""domain""",opendata_nodata.insurance,
order_count,Data representing the order count.,"opendata_nodata.insurance.""order_count""",opendata_nodata.insurance,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.insurance.""modified_date""",opendata_nodata.insurance,
"▼ insurance_stage   (base table, 6 cols)",,,opendata_nodata.insurance_stage,
date,Timestamp or date indicating when date occurred.,"opendata_nodata.insurance_stage.""date""",opendata_nodata.insurance_stage,
bap_id,Unique identifier for the Buyer App (BAP).,"opendata_nodata.insurance_stage.""bap_id""",opendata_nodata.insurance_stage,
bpp_id,Unique identifier for the Seller App (BPP).,"opendata_nodata.insurance_stage.""bpp_id""",opendata_nodata.insurance_stage,
category_code,Timestamp or date indicating when category code occurred.,"opendata_nodata.insurance_stage.""category_code""",opendata_nodata.insurance_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.insurance_stage.""domain""",opendata_nodata.insurance_stage,
order_count,Data representing the order count.,"opendata_nodata.insurance_stage.""order_count""",opendata_nodata.insurance_stage,
"▼ md_b2b_data   (base table, 7 cols)",,,opendata_nodata.md_b2b_data,
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_b2b_data.""Date""",opendata_nodata.md_b2b_data,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_b2b_data.""domain""",opendata_nodata.md_b2b_data,
category,Timestamp or date indicating when category occurred.,"opendata_nodata.md_b2b_data.""category""",opendata_nodata.md_b2b_data,
bnp,Data representing the bnp.,"opendata_nodata.md_b2b_data.""bnp""",opendata_nodata.md_b2b_data,
snp,Data representing the snp.,"opendata_nodata.md_b2b_data.""snp""",opendata_nodata.md_b2b_data,
order_count,Data representing the order count.,"opendata_nodata.md_b2b_data.""order_count""",opendata_nodata.md_b2b_data,
modified_date,Timestamp or date indicating when modified date occurred.,"opendata_nodata.md_b2b_data.""modified_date""",opendata_nodata.md_b2b_data,
"▼ md_b2b_data_stage   (base table, 6 cols)",,,opendata_nodata.md_b2b_data_stage,
Date,Timestamp or date indicating when date occurred.,"opendata_nodata.md_b2b_data_stage.""Date""",opendata_nodata.md_b2b_data_stage,
domain,"The ONDC network domain (e.g., retail, logistics).","opendata_nodata.md_b2b_data_stage.""domain""",opendata_nodata.md_b2b_data_stage,
