Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_dates   (base table, 1 cols)",,,prod.dim_dates,CREATE INDEX dim_dates_order_date_idx ON prod.dim_dates USING btree (order_date)
order_date,Timestamp or date indicating when order date occurred.,"prod.dim_dates.""order_date""",prod.dim_dates,
"▼ dim_districts   (base table, 2 cols)",,,prod.dim_districts,"CREATE INDEX dim_districts_delivery_state_idx ON prod.dim_districts USING btree (delivery_state)

CREATE INDEX dim_districts_delivery_district_idx ON prod.dim_districts USING btree (delivery_district)"
delivery_state,Turn-Around-Time (TAT) measurement.,"prod.dim_districts.""delivery_state""",prod.dim_districts,
delivery_district,Data representing the delivery district.,"prod.dim_districts.""delivery_district""",prod.dim_districts,
"▼ dim_pincode   (base table, 4 cols)",,,prod.dim_pincode,
Pincode,Indian postal code (pincode).,"prod.dim_pincode.""Pincode""",prod.dim_pincode,
Districtname,Name of the districtname.,"prod.dim_pincode.""Districtname""",prod.dim_pincode,
Statename,Turn-Around-Time (TAT) measurement.,"prod.dim_pincode.""Statename""",prod.dim_pincode,
Statecode,Turn-Around-Time (TAT) measurement.,"prod.dim_pincode.""Statecode""",prod.dim_pincode,
"▼ dim_providers   (base table, 7 cols)",,,prod.dim_providers,
provider_key,Unique identifier for provider key.,"prod.dim_providers.""provider_key""",prod.dim_providers,
order_date,Timestamp or date indicating when order date occurred.,"prod.dim_providers.""order_date""",prod.dim_providers,
category,Timestamp or date indicating when category occurred.,"prod.dim_providers.""category""",prod.dim_providers,
sub_category,Timestamp or date indicating when sub category occurred.,"prod.dim_providers.""sub_category""",prod.dim_providers,
seller_district,Data representing the seller district.,"prod.dim_providers.""seller_district""",prod.dim_providers,
seller_state,Turn-Around-Time (TAT) measurement.,"prod.dim_providers.""seller_state""",prod.dim_providers,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod.dim_providers.""seller_state_code""",prod.dim_providers,
