Column Name,Description in Plain English,Logic / Formula,Source Table(s),DDL & Indexes
"▼ dim_dates   (base table, 1 cols)",,,prod_bkp.dim_dates,CREATE INDEX dim_dates_order_date_idx ON prod_bkp.dim_dates USING btree (order_date)
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.dim_dates.""order_date""",prod_bkp.dim_dates,
"▼ dim_districts   (base table, 2 cols)",,,prod_bkp.dim_districts,"CREATE INDEX dim_districts_delivery_state_idx ON prod_bkp.dim_districts USING btree (delivery_state)

CREATE INDEX dim_districts_delivery_district_idx ON prod_bkp.dim_districts USING btree (delivery_district)"
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.dim_districts.""delivery_state""",prod_bkp.dim_districts,
delivery_district,Data representing the delivery district.,"prod_bkp.dim_districts.""delivery_district""",prod_bkp.dim_districts,
"▼ district_level_orders   (base table, 16 cols)",,,prod_bkp.district_level_orders,"CREATE INDEX district_level_orders_order_date_idx ON prod_bkp.district_level_orders USING btree (order_date)

CREATE INDEX district_level_orders_delivery_state_idx ON prod_bkp.district_level_orders USING btree (delivery_state)

CREATE INDEX district_level_orders_delivery_district_idx ON prod_bkp.district_level_orders USING btree (delivery_district)

CREATE INDEX district_level_orders_seller_state_idx ON prod_bkp.district_level_orders USING btree (seller_state)

CREATE INDEX district_level_orders_seller_district_idx ON prod_bkp.district_level_orders USING btree (seller_district)"
order_date,Timestamp or date indicating when order date occurred.,"prod_bkp.district_level_orders.""order_date""",prod_bkp.district_level_orders,
delivery_district,Data representing the delivery district.,"prod_bkp.district_level_orders.""delivery_district""",prod_bkp.district_level_orders,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""delivery_state""",prod_bkp.district_level_orders,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""delivery_state_code""",prod_bkp.district_level_orders,
seller_district,Data representing the seller district.,"prod_bkp.district_level_orders.""seller_district""",prod_bkp.district_level_orders,
seller_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""seller_state""",prod_bkp.district_level_orders,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""seller_state_code""",prod_bkp.district_level_orders,
total_orders_delivered,Data representing the total orders delivered.,"prod_bkp.district_level_orders.""total_orders_delivered""",prod_bkp.district_level_orders,
pincode_count,Indian postal code (pincode).,"prod_bkp.district_level_orders.""pincode_count""",prod_bkp.district_level_orders,
total_items,Data representing the total items.,"prod_bkp.district_level_orders.""total_items""",prod_bkp.district_level_orders,
intrastate_orders,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""intrastate_orders""",prod_bkp.district_level_orders,
interstate_orders,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""interstate_orders""",prod_bkp.district_level_orders,
intradistrict_orders,Data representing the intradistrict orders.,"prod_bkp.district_level_orders.""intradistrict_orders""",prod_bkp.district_level_orders,
interdistrict_orders,Data representing the interdistrict orders.,"prod_bkp.district_level_orders.""interdistrict_orders""",prod_bkp.district_level_orders,
intrastate_orders_percentage,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_level_orders.""intrastate_orders_percentage""",prod_bkp.district_level_orders,
intradistrict_orders_percentage,Data representing the intradistrict orders percentage.,"prod_bkp.district_level_orders.""intradistrict_orders_percentage""",prod_bkp.district_level_orders,
"▼ district_wise_monthly_aggregates   (base table, 13 cols)",,,prod_bkp.district_wise_monthly_aggregates,"CREATE INDEX district_wise_monthly_aggregates_order_month_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (order_month)

CREATE INDEX district_wise_monthly_aggregates_seller_district_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (seller_district)

CREATE INDEX district_wise_monthly_aggregates_delivery_state_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (delivery_state)

CREATE INDEX district_wise_monthly_aggregates_seller_state_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (seller_state)

CREATE INDEX district_wise_monthly_aggregates_sub_domain_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (sub_domain)

CREATE INDEX district_wise_monthly_aggregates_domain_name_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (domain_name)

CREATE INDEX district_wise_monthly_aggregates_delivery_district_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (delivery_district)

CREATE INDEX district_wise_monthly_aggregates_order_year_idx ON prod_bkp.district_wise_monthly_aggregates USING btree (order_year)"
domain_name,"The ONDC network domain (e.g., retail, logistics).","prod_bkp.district_wise_monthly_aggregates.""domain_name""",prod_bkp.district_wise_monthly_aggregates,
sub_domain,"The ONDC network domain (e.g., retail, logistics).","prod_bkp.district_wise_monthly_aggregates.""sub_domain""",prod_bkp.district_wise_monthly_aggregates,
order_month,Data representing the order month.,"prod_bkp.district_wise_monthly_aggregates.""order_month""",prod_bkp.district_wise_monthly_aggregates,
order_year,Data representing the order year.,"prod_bkp.district_wise_monthly_aggregates.""order_year""",prod_bkp.district_wise_monthly_aggregates,
delivery_district,Data representing the delivery district.,"prod_bkp.district_wise_monthly_aggregates.""delivery_district""",prod_bkp.district_wise_monthly_aggregates,
delivery_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_wise_monthly_aggregates.""delivery_state""",prod_bkp.district_wise_monthly_aggregates,
delivery_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_wise_monthly_aggregates.""delivery_state_code""",prod_bkp.district_wise_monthly_aggregates,
seller_district,Data representing the seller district.,"prod_bkp.district_wise_monthly_aggregates.""seller_district""",prod_bkp.district_wise_monthly_aggregates,
seller_state,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_wise_monthly_aggregates.""seller_state""",prod_bkp.district_wise_monthly_aggregates,
seller_state_code,Turn-Around-Time (TAT) measurement.,"prod_bkp.district_wise_monthly_aggregates.""seller_state_code""",prod_bkp.district_wise_monthly_aggregates,
total_orders_delivered,Data representing the total orders delivered.,"prod_bkp.district_wise_monthly_aggregates.""total_orders_delivered""",prod_bkp.district_wise_monthly_aggregates,
